Province,District,Year,Poverty Rate (%),Access to improved drinking water (% of population),Access to piped water (% of population),Access to improved toilet facilities (% of population),Open defecation (% of population),Access to electricity (% of population),Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)","Accessibility, transportation (% of population within 15 minutes to public transportation)",Household size,Household dependency ratio,"Occupancy, present occupancy status-owner (% of population)","Occupancy, present occupancy status-rented (% of population)","Occupancy, present occupancy status-other (% of population)",Improved roof material (% of population),Improved wall material (% of population),Improved roof and wall material (% of population),Household members per room,Overcrowding (% of population),"Labor force participation rate (% of working age population, 15-64 years old)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment services (% of total employment),Wage and salaried employment (% of total employment),"Self-employment, non-agriculture (% of total employment)","Self-employment, agriculture (% of total employment)",Unpaid employment (% of total employment),Child labor (% of children aged 10-17),"Net school enrollment, primary school, 6-10 years old (% net)","Net school enrollment, middle school, 11-13 years old (% net)","Youth literacy, 15-24 years old (% of population aged 15-24)","Adult literacy, 25 or more years old (% of population aged 25 or more)","Primary completion rate, 14-17 years old (% of population aged 14-17)","Youth literacy gender parity index, 15-24 years old","Adult literacy gender parity index, 25 or more years old","Primary completion gender parity index, 14-17 years old","Net enrolment rate in primary gender parity index, 6-10 years old","Net enrolment rate in middle school gender parity index, 11-13 years old",Urban share of population (% of population)
Balochistan,Chagai,2010,56.0,16.98,11.11,7.83,29.15,30.95,32.63,20.26,50.38,7.07,0.48,99.05,0.74,0.95,7.57,33.22,5.02,3.87,57.55,45.21,45.64,16.22,38.14,39.15,13.49,21.45,25.92,26.1,46.57,24.0,36.81,21.03,40.88,0.2,0.1,0.16,0.45,0.25,9.5
Balochistan,Chagai,2012,53.0,61.44,9.91,14.55,37.21,48.52,48.53,12.18,78.28,6.97,0.46,97.01,1.93,1.93,8.64,37.88,6.02,3.24,37.0,45.54,33.46,20.28,46.25,52.88,18.69,14.23,14.2,25.54,39.86,11.92,45.46,21.6,41.43,0.39,0.1,0.27,0.53,0.13,12.89
Balochistan,Chagai,2014,58.0,21.83,11.44,6.46,24.16,27.13,79.67,17.62,56.63,6.34,0.44,86.25,0.39,0.39,9.08,8.05,5.84,3.15,37.88,50.02,49.96,18.87,31.17,38.92,12.64,21.65,26.79,39.16,41.72,12.84,32.0,22.31,36.15,0.25,0.07,0.28,0.58,0.43,9.34
Balochistan,Dera Bugti,2006,81.0,9.9,8.85,0.95,10.28,65.16,13.12,3.64,8.39,6.4,0.49,77.83,1.67,20.5,16.81,12.44,7.35,4.55,77.01,60.14,38.24,16.7,45.06,48.35,8.32,15.38,27.95,57.7,31.9,8.5,33.67,16.63,38.18,0.06,0.0,0.17,0.23,0.65,8.0
Balochistan,Dera Bugti,2008,85.0,32.18,31.24,3.04,33.49,31.61,25.27,5.97,29.48,7.31,0.44,80.56,1.23,18.21,12.35,5.78,3.24,4.33,68.67,61.66,67.71,10.27,22.02,24.77,5.96,21.39,47.88,72.59,20.87,8.42,29.03,14.51,15.3,0.05,0.0,0.06,0.48,0.0,5.86
Balochistan,Dera Bugti,2010,64.0,5.72,4.2,9.07,29.83,9.77,32.17,3.38,15.29,7.03,0.44,61.61,0.53,0.53,3.75,2.28,0.27,4.18,71.49,61.75,81.48,8.58,9.94,16.53,1.59,30.48,51.41,65.4,14.33,2.61,27.25,11.3,11.37,0.04,0.02,0.02,0.1,0.0,3.57
Balochistan,Dera Bugti,2012,64.0,19.62,18.87,3.25,48.36,28.15,14.7,3.99,15.5,7.24,0.41,98.77,0.36,0.86,14.17,11.21,10.16,3.05,29.56,61.69,76.21,8.87,14.92,12.64,7.01,23.4,56.96,58.53,13.39,2.74,26.16,12.72,8.24,0.03,0.0,0.02,0.34,0.0,5.36
Balochistan,Dera Bugti,2014,68.0,39.96,22.79,2.45,30.72,74.87,7.07,25.88,35.3,6.79,0.51,95.56,1.27,1.98,32.22,15.24,12.43,4.68,79.59,43.16,26.73,31.11,42.16,59.28,12.37,17.93,10.35,22.54,27.78,15.61,21.83,23.04,31.51,0.18,0.05,0.4,0.51,0.62,8.02
Balochistan,Gwadar,2004,49.0,58.56,58.04,9.82,33.87,59.28,1.89,40.22,42.36,5.55,0.4,95.45,0.6,3.94,18.95,29.33,15.93,3.52,44.99,48.33,56.53,11.55,31.92,52.26,21.89,13.54,12.31,28.15,53.07,12.92,49.11,24.91,44.35,0.5,0.18,0.82,0.87,1.18,52.68
Balochistan,Gwadar,2006,59.0,89.99,64.23,27.03,3.27,78.38,28.32,35.26,75.47,5.65,0.48,96.71,2.59,0.7,47.09,48.64,43.09,3.55,44.65,46.59,39.96,17.47,42.57,41.41,49.27,3.57,5.75,35.54,55.95,25.02,44.0,18.65,42.15,0.44,0.16,0.58,0.79,1.0,54.34
Balochistan,Gwadar,2008,71.0,75.95,62.28,21.91,7.75,83.65,58.9,63.11,89.36,6.33,0.46,96.51,2.01,1.48,26.67,57.27,24.55,4.08,58.94,42.93,31.42,12.18,56.4,62.83,25.71,0.82,10.64,21.4,75.13,35.73,75.57,42.46,76.25,0.63,0.33,0.73,0.92,0.98,56.02
Balochistan,Gwadar,2010,50.0,73.82,56.96,14.52,7.62,72.25,58.3,28.6,39.04,6.12,0.53,90.17,0.87,2.1,24.35,42.92,15.47,3.41,45.99,51.09,38.47,13.04,48.48,47.8,33.89,6.38,11.94,31.58,72.19,20.72,60.04,27.23,68.63,0.54,0.24,0.66,0.87,0.53,46.6
Balochistan,Gwadar,2012,35.0,78.44,47.44,6.25,12.8,83.35,89.43,44.32,94.85,7.15,0.44,93.65,2.78,3.74,43.86,41.1,33.38,3.5,49.05,49.59,34.91,21.82,43.27,44.61,25.73,8.39,21.26,30.66,79.23,49.19,67.03,42.24,68.53,0.62,0.2,0.7,0.8,0.38,42.68
Balochistan,Gwadar,2014,47.0,84.41,64.48,16.82,3.73,90.18,92.64,34.45,48.92,6.36,0.58,93.17,1.61,2.86,36.76,50.34,17.23,3.2,41.27,44.38,33.11,11.3,55.59,30.23,59.24,5.08,5.46,16.09,82.27,42.22,80.58,43.0,88.31,0.42,0.32,0.6,0.75,0.69,58.66
Balochistan,Harnai,2004,66.0,48.58,48.06,13.58,65.96,54.35,1.11,8.17,10.79,7.14,0.42,84.16,5.39,10.45,18.98,19.35,13.74,3.04,38.91,45.48,52.92,10.25,36.82,40.32,9.56,28.7,21.42,24.11,43.01,15.29,42.97,22.13,51.64,0.51,0.19,0.73,0.8,0.4,25.76
Balochistan,Harnai,2006,77.0,64.77,52.39,8.9,22.91,76.74,24.79,9.92,11.39,8.44,0.43,78.7,5.94,15.36,20.83,22.03,19.12,3.62,55.18,42.77,53.18,11.14,35.68,38.88,13.75,25.03,22.34,18.31,45.4,21.59,50.03,27.11,51.73,0.55,0.22,0.78,0.75,0.48,25.68
Balochistan,Harnai,2008,64.0,58.04,54.68,25.11,23.84,74.17,38.05,17.23,97.49,7.7,0.42,74.27,5.63,20.1,19.09,22.61,16.72,3.2,40.67,42.44,38.18,9.9,51.92,47.09,16.41,19.34,17.16,14.19,60.75,20.27,58.81,32.29,53.01,0.55,0.24,0.53,0.9,0.62,33.95
Balochistan,Harnai,2010,19.0,23.21,9.68,11.62,2.43,91.1,92.02,0.0,90.26,7.53,0.48,95.32,0.0,0.0,0.71,6.1,0.0,1.73,5.84,50.02,59.76,14.34,25.91,30.88,9.56,27.68,31.89,18.05,61.13,47.61,62.1,27.92,58.72,0.19,0.1,0.17,0.75,0.28,0.0
Balochistan,Harnai,2012,35.0,37.38,23.97,15.81,20.31,77.34,36.01,5.13,74.14,6.9,0.49,96.87,1.88,2.53,12.52,5.82,5.57,2.62,22.96,45.9,36.19,19.56,44.25,56.72,11.45,18.69,13.14,16.56,39.1,18.74,48.29,27.74,48.94,0.35,0.2,0.51,0.48,0.36,9.27
Balochistan,Harnai,2014,65.0,42.2,24.13,11.17,20.57,52.35,53.81,3.41,17.53,7.91,0.45,97.91,0.37,0.96,11.47,13.11,4.79,3.49,51.67,43.31,59.01,18.56,22.43,51.83,5.99,20.56,21.4,20.8,29.78,15.72,45.98,15.97,40.75,0.36,0.12,0.29,0.54,0.22,7.24
Balochistan,Jaffarabad,2004,49.0,54.64,29.2,5.92,34.18,90.03,1.15,26.37,63.42,6.5,0.46,88.89,2.42,8.69,16.74,19.19,15.31,3.48,49.03,60.16,70.09,5.23,24.68,19.45,9.4,28.65,42.5,44.84,47.94,23.13,46.61,24.44,39.84,0.23,0.06,0.23,0.48,0.56,18.41
Balochistan,Jaffarabad,2006,73.0,48.98,10.1,6.85,31.19,88.54,36.44,17.82,34.62,7.56,0.47,80.56,1.71,17.73,25.28,28.16,20.65,4.58,75.16,70.94,79.78,3.01,17.21,12.79,6.37,23.31,57.53,59.96,46.95,19.56,39.1,22.48,41.54,0.25,0.11,0.3,0.45,0.46,16.62
Balochistan,Jaffarabad,2008,80.0,45.79,21.82,1.76,7.88,97.68,63.78,37.58,62.79,6.86,0.5,81.74,2.93,15.33,10.01,29.53,9.53,4.36,69.1,61.54,69.36,9.12,21.51,22.95,7.17,29.27,40.61,55.96,59.19,23.55,47.64,26.82,44.97,0.27,0.08,0.48,0.62,0.6,20.78
Balochistan,Jaffarabad,2010,64.0,89.76,14.26,2.27,8.86,93.66,81.96,24.43,48.33,7.17,0.5,85.87,2.3,2.3,0.13,15.96,0.13,4.8,73.55,53.05,66.56,9.31,24.13,21.96,10.67,31.93,35.45,43.51,41.96,20.93,36.72,19.51,31.7,0.31,0.12,0.39,0.61,0.25,21.13
Balochistan,Jaffarabad,2012,62.0,72.93,16.81,19.22,14.9,97.88,97.44,18.73,39.16,7.28,0.51,86.94,2.86,3.64,35.82,37.77,23.86,4.77,71.07,54.72,65.93,9.28,24.79,22.52,10.58,29.32,37.58,42.62,46.84,27.38,36.47,22.15,33.75,0.08,0.06,0.42,0.59,0.48,21.25
Balochistan,Jaffarabad,2014,64.0,72.92,22.82,2.25,5.13,98.66,94.37,49.79,75.65,7.24,0.51,83.27,2.15,2.15,36.57,41.05,32.41,4.87,69.19,59.46,67.31,10.64,22.05,24.04,8.7,29.52,37.66,47.83,49.45,22.49,45.57,24.1,41.82,0.38,0.14,0.44,0.64,0.48,26.76
Balochistan,Jhal Magsi,2004,71.0,16.42,12.06,2.57,78.27,36.21,0.66,8.31,13.43,6.26,0.47,96.24,0.77,2.99,6.11,2.93,1.66,3.57,50.34,46.22,69.51,5.96,24.53,31.21,2.56,42.67,23.56,40.1,27.23,10.84,25.28,13.49,20.45,0.25,0.06,0.34,0.64,0.1,4.06
Balochistan,Jhal Magsi,2006,86.0,40.71,33.53,5.43,27.32,53.41,2.34,6.71,44.8,7.5,0.51,96.58,0.0,3.42,4.8,3.9,3.39,4.05,67.21,47.64,64.86,12.64,22.5,34.69,4.72,31.8,28.79,30.05,45.65,14.68,37.75,27.43,33.9,0.21,0.1,0.27,0.72,0.07,2.94
Balochistan,Jhal Magsi,2008,81.0,17.19,13.8,1.64,4.18,72.36,6.05,21.52,45.83,6.63,0.47,84.74,1.13,14.13,16.03,14.54,12.29,3.12,38.17,50.42,67.94,4.69,27.37,26.21,9.43,40.43,23.93,42.78,45.52,15.81,23.88,10.79,29.81,0.14,0.09,0.28,0.68,0.39,6.25
Balochistan,Jhal Magsi,2010,56.0,6.49,4.21,1.73,13.84,88.09,71.49,27.26,70.77,6.96,0.51,98.41,0.48,0.48,1.53,23.02,1.53,4.15,69.73,47.35,55.3,19.62,25.08,45.88,2.75,32.03,19.33,33.3,78.12,46.65,40.91,21.43,54.96,0.35,0.03,0.65,0.65,0.26,4.21
Balochistan,Jhal Magsi,2012,46.0,40.43,16.08,9.27,18.01,85.12,91.34,14.17,74.9,6.54,0.45,93.8,0.18,0.18,21.12,22.56,13.87,3.57,42.78,46.3,58.65,18.13,23.23,44.81,7.67,31.22,16.3,22.97,62.56,21.14,48.7,27.27,51.84,0.32,0.12,0.46,0.74,0.38,5.04
Balochistan,Jhal Magsi,2014,65.0,37.62,4.05,6.43,32.7,74.16,54.78,0.17,22.26,7.86,0.49,85.18,0.17,0.17,11.77,30.67,3.99,3.82,57.2,48.67,67.64,13.06,19.31,37.78,5.09,31.12,25.96,33.86,55.87,12.99,28.3,21.37,27.97,0.37,0.16,0.89,0.72,0.34,4.43
Balochistan,Kachhi,2004,64.0,26.51,26.51,9.68,49.74,80.57,0.0,34.17,57.71,6.52,0.45,93.49,0.74,5.76,11.78,12.59,8.05,3.4,45.6,44.38,49.16,11.7,39.13,41.21,9.78,29.54,19.48,28.61,38.09,14.69,44.06,19.64,47.18,0.31,0.07,0.55,0.63,0.41,12.44
Balochistan,Kachhi,2006,76.0,22.53,22.11,4.53,27.67,68.8,13.56,32.27,80.84,7.01,0.42,82.16,5.16,12.69,8.71,7.0,6.83,3.96,57.63,43.56,59.96,4.47,35.57,37.07,7.4,31.6,23.93,22.92,38.01,13.07,43.95,26.6,40.72,0.5,0.25,0.49,0.72,0.25,19.85
Balochistan,Kachhi,2008,84.0,26.86,26.25,3.36,6.68,50.45,14.08,8.47,60.63,6.87,0.49,81.2,2.18,16.62,3.92,6.31,3.1,3.16,35.47,48.96,57.68,8.93,33.38,38.78,11.08,25.78,24.36,33.25,37.68,10.88,35.72,16.09,31.33,0.54,0.16,0.27,0.68,0.32,14.63
Balochistan,Kachhi,2010,55.0,23.17,22.51,7.2,1.89,70.94,62.84,24.54,62.44,6.36,0.46,92.19,2.09,4.66,5.89,6.52,0.89,3.79,59.75,53.62,50.84,16.4,32.76,44.34,9.32,17.15,29.2,30.96,67.88,33.8,47.77,35.11,55.48,0.14,0.09,0.26,0.67,0.26,15.69
Balochistan,Kachhi,2012,49.0,25.55,24.8,10.46,8.41,93.09,75.15,29.77,92.44,7.05,0.46,91.83,0.21,2.81,11.75,10.9,8.24,3.18,36.11,46.19,44.42,21.83,33.75,48.05,11.06,21.75,19.14,28.65,47.0,15.17,45.12,22.64,49.84,0.34,0.07,0.44,0.51,0.35,14.25
Balochistan,Kachhi,2014,57.0,36.55,27.98,5.39,17.95,92.13,85.04,14.12,49.52,6.91,0.46,90.69,0.75,1.22,20.91,19.21,14.97,3.97,56.42,48.1,53.93,23.71,22.36,52.65,3.04,25.5,18.8,27.81,44.54,19.3,53.11,30.02,55.1,0.45,0.18,0.67,0.51,0.74,20.92
Balochistan,Kalat,2004,52.0,56.79,21.24,6.37,28.98,52.95,0.0,29.83,66.94,6.43,0.44,97.86,0.59,1.56,2.86,2.61,1.79,2.9,37.26,61.62,76.68,3.2,20.13,20.21,4.27,32.41,43.11,48.44,47.65,17.59,37.81,18.66,32.61,0.31,0.13,0.66,0.76,1.27,13.72
Balochistan,Kalat,2006,74.0,43.85,29.89,0.57,31.72,61.05,5.31,54.43,83.07,7.12,0.45,99.02,0.21,0.78,10.13,5.11,3.6,2.72,27.2,68.6,74.98,7.29,17.74,25.09,5.2,21.17,48.54,56.63,58.5,21.77,49.24,18.83,48.29,0.53,0.15,0.6,0.64,0.62,19.21
Balochistan,Kalat,2008,83.0,47.7,43.78,4.27,2.47,96.19,56.44,2.85,60.75,6.87,0.52,91.83,3.84,4.33,6.3,9.85,5.77,4.34,68.22,57.78,63.22,10.59,26.19,30.36,6.56,26.35,36.72,55.37,58.45,17.37,52.34,25.9,55.06,0.2,0.11,0.38,0.48,0.45,15.32
Balochistan,Kalat,2010,42.0,43.99,35.95,4.83,6.57,77.36,66.95,26.79,78.96,6.77,0.44,99.52,0.35,0.35,11.71,20.9,6.39,2.9,27.81,64.18,69.79,13.26,16.95,29.71,7.45,21.42,41.42,33.5,74.84,31.44,68.92,29.2,63.44,0.41,0.16,0.56,0.7,0.33,13.57
Balochistan,Kalat,2012,50.0,73.44,37.63,2.44,7.8,88.32,81.72,34.77,91.3,7.16,0.43,99.41,0.36,0.59,17.89,25.42,8.27,3.78,55.7,62.9,41.26,36.88,21.86,39.25,22.52,16.36,21.87,48.26,58.49,31.2,63.01,27.84,53.71,0.46,0.2,0.31,0.66,0.36,18.67
Balochistan,Kalat,2014,44.0,80.24,34.94,0.09,0.0,94.94,78.75,49.14,63.04,7.22,0.41,99.36,0.0,0.0,34.4,19.12,17.93,2.88,34.21,76.28,46.29,31.47,22.24,24.76,29.35,13.37,32.47,43.43,62.47,35.27,67.02,35.52,76.99,1.09,0.46,0.89,0.61,0.19,17.97
Balochistan,Kech,2004,51.0,35.77,17.13,4.08,8.03,33.29,2.81,17.16,59.45,6.25,0.45,96.07,0.54,3.4,15.54,14.37,10.79,3.68,47.5,44.28,38.78,12.24,48.97,45.32,17.18,22.88,14.62,17.3,68.12,25.88,62.31,28.34,68.0,0.49,0.11,0.67,0.86,0.77,13.5
Balochistan,Kech,2006,62.0,47.89,39.94,3.03,2.09,63.68,6.99,41.75,91.83,5.78,0.46,98.57,0.83,0.6,4.65,5.66,4.3,3.59,49.63,43.72,16.57,28.03,55.4,61.8,22.09,7.23,8.89,20.31,73.81,32.87,64.94,29.74,64.97,0.53,0.11,0.71,0.8,0.61,18.16
Balochistan,Kech,2008,71.0,51.66,46.98,14.4,17.02,76.29,50.28,22.18,84.13,5.77,0.46,96.53,0.75,2.72,14.44,23.57,7.4,3.43,44.31,48.15,11.4,32.88,55.72,61.47,25.11,4.48,8.93,28.82,68.38,32.74,61.99,38.2,60.39,0.52,0.26,0.52,0.82,0.18,19.88
Balochistan,Kech,2010,55.0,47.42,25.93,8.31,8.14,39.89,55.22,19.33,43.28,6.06,0.53,99.57,0.17,0.17,14.61,25.81,11.61,4.17,60.08,53.94,30.49,21.73,47.79,38.56,29.99,14.17,17.27,43.38,56.32,23.27,44.74,26.73,48.11,0.3,0.1,0.57,0.54,0.22,17.06
Balochistan,Kech,2012,46.0,63.15,31.49,4.69,12.41,72.77,68.86,56.14,95.08,6.98,0.46,98.44,0.0,0.28,20.3,27.68,19.46,3.53,48.74,45.46,31.56,20.83,47.61,37.49,25.58,12.05,24.88,22.54,68.1,43.1,63.63,29.35,71.16,0.45,0.21,0.53,0.75,0.51,20.21
Balochistan,Kharan,2004,60.0,51.85,17.38,5.59,14.62,27.85,0.24,49.37,77.17,6.96,0.47,99.29,0.19,0.52,0.93,0.37,0.23,3.21,37.38,51.06,53.95,10.45,35.6,35.29,11.07,24.84,28.8,35.58,36.21,6.7,35.43,18.64,25.08,0.21,0.13,0.34,0.41,0.28,6.24
Balochistan,Kharan,2006,68.0,38.96,30.57,5.06,25.77,45.85,6.96,23.26,85.64,5.92,0.44,96.07,1.78,2.15,5.33,14.35,3.73,2.96,28.47,47.72,30.13,17.5,52.37,56.18,12.28,17.31,14.23,33.94,62.91,8.27,46.46,16.8,52.48,0.3,0.08,0.38,0.71,0.32,12.27
Balochistan,Kharan,2008,75.0,63.2,58.62,4.31,13.35,65.69,15.41,13.46,89.61,6.17,0.47,97.27,0.29,2.43,24.1,9.93,9.18,2.93,31.89,46.29,35.1,12.79,52.11,44.81,20.31,19.12,15.76,29.63,53.94,21.62,40.59,18.16,47.81,0.25,0.12,0.36,0.54,0.6,15.75
Balochistan,Kharan,2010,56.0,24.66,22.7,8.21,2.16,66.75,61.17,42.48,63.72,6.7,0.48,99.07,0.0,0.32,3.76,3.25,0.36,4.02,63.32,53.24,53.36,10.73,35.92,35.4,8.97,23.44,32.19,41.78,67.1,33.91,56.67,29.19,60.76,0.18,0.04,0.3,0.46,0.21,14.68
Balochistan,Kharan,2012,50.0,81.07,34.58,15.01,7.4,71.88,80.12,27.67,97.09,7.45,0.49,99.47,0.53,0.53,7.87,9.49,2.85,3.31,47.6,45.12,43.08,16.12,40.8,49.84,11.18,17.2,21.79,22.73,64.42,23.03,62.63,31.15,60.01,0.33,0.12,0.3,0.75,0.33,15.3
Balochistan,Kharan,2014,58.0,86.12,59.8,18.06,16.81,78.1,87.03,11.22,60.43,6.82,0.48,96.67,2.83,2.83,26.6,18.48,13.98,3.43,45.89,44.59,36.28,18.58,45.14,56.47,10.24,14.23,18.91,23.03,55.59,24.8,54.83,25.35,54.86,0.46,0.1,0.53,0.6,0.47,34.92
Balochistan,Khuzdar,2004,55.0,42.85,27.31,5.23,38.35,52.48,0.84,20.85,44.49,6.33,0.46,93.55,2.47,3.98,11.78,7.79,6.54,3.18,37.94,63.0,69.36,6.69,23.95,20.93,8.84,32.14,38.1,55.53,41.97,8.42,38.45,18.16,30.04,0.36,0.08,0.52,0.55,1.07,26.17
Balochistan,Khuzdar,2006,77.0,37.41,29.68,0.0,32.65,47.07,9.88,45.8,73.45,7.21,0.45,95.69,0.54,3.76,11.17,14.75,7.03,3.04,36.63,59.16,60.47,8.15,31.39,30.03,7.93,26.31,35.73,45.06,55.49,9.17,40.48,17.61,37.43,0.35,0.13,0.52,0.72,0.31,26.03
Balochistan,Khuzdar,2008,77.0,54.98,53.99,0.7,2.39,88.37,71.51,6.41,48.03,7.15,0.48,76.96,3.46,19.58,14.09,13.97,11.59,4.0,67.84,52.02,55.9,7.44,36.66,37.3,11.24,23.17,28.28,49.0,51.86,17.9,55.02,30.67,55.82,0.38,0.23,0.29,0.4,0.34,16.76
