序號,章,節,概念,次概念,考法,題組,題組題幹,題組圖1,題組圖2,題幹,題幹圖1,題幹圖2,選項A,選項B,選項C,選項D,圖A,圖B,圖C,圖D,出處,答案
33,01生命世界,1顯微鏡,顯微鏡構造,,,,,,,以顯微鏡觀察口腔皮膜細胞時，發現顯微鏡中視野過暗，可調節圖中哪一個構造以獲得適當的光線？,m0028,,甲,乙,丙,丁,,,,,090基本學測二,C
59,02養分,4消化系統,消化酵素與受質,,,,,,,阿威早餐吃了饅頭，下列何者可以消化饅頭中的澱粉？,,,唾液,膽汁,胃液,大腸黏液,,,,,090基本學測二,A
62,05恆定,3水分恆定,蛋白質的代謝,,,,,,,痛風為體內代謝的尿酸結晶堆積在人體關節所引起的疾病，這類病人在飲食中應避免大量攝取哪一類食物？,,,白米飯,海鮮,水果,奶油,,,,,090基本學測二,B
125,03運輸,1植物的運輸,蒸散作用,,,,,,,將二支裝滿水的曲狀玻璃管，管中有一小氣泡，如箭頭所示，用相同的光源照射，並放在通風的室內，其裝置及結果如下圖，則造成兩組氣泡位置差異的主要原因為何？,m0123,,芹菜行光合作用會消耗大部分的水分,芹菜行呼吸作用會消耗大部分的水分,芹菜吸收的水分大多經由葉片的氣孔散失,芹菜吸收的水分大多經由葉片的邊緣散失,,,,,090基本學測二,C
193,04協調,4植物感應,向性,植物生長現象發生的原因,,,,,,下列植物的感應，何者和生長激素有關？,,,向日葵的向光性,合歡的睡眠運動,豬籠草的觸發運動,紫背萬年青的氣孔開閉,,,,,090基本學測二,A
253,06生殖,1細胞分裂與減數分裂,體細胞和生殖細胞的染色體判斷,,,,,,,已知黑猩猩的體細胞有48條染色體。當雄性黑猩猩體內行減數分裂產生精子時，有關染色體的敘述，下列何者正確？,,,染色體複製1次，精子內含24條染色體,染色體複製2次，精子內含48條染色體,染色體複製1次，精子內含48條染色體,染色體複製2次，精子內含96條染色體,,,,,090基本學測二,A
270,06生殖,5植物有性生殖,花的構造,,,,,,,下圖為植物的生殖構造，圖中何種構造可將精細胞送到胚珠中與卵結合？,m0234,,甲,乙,丙,丁,,,,,090基本學測二,A
274,06生殖,3動物有性生殖,體內體外受精,,,,,,,吳郭魚、大肚魚、鯨三種水中生物每一次排卵的數量，以吳郭魚最多而鯨最少。下列何者最可能是造成此種現象的原因？,,,體型的大小,食量的大小,體溫是否恆定,受精卵發育的型式,,,,,090基本學測二,D
295,07遺傳,2人類的遺傳,性別如何決定,,,,,,,宜靜和大雄結婚後，生了二個女兒，如今再度懷孕。有關胎兒性別的敘述，下列何者正確？,,,胎兒的性別由Y染色體決定,受精卵隨機發育成男或女的胎兒,胎兒的性別是出生時決定的,這一胎生兒子的機率是1/4,,,,,090基本學測二,A
319,08演化,1天擇與人擇,人擇,天擇的結果,,,,,,下列哪一種情形不屬於天擇的結果？,,,綠草叢中綠色的昆蟲特別多,馬的前肢變為單趾，更適合奔跑,人的手臂因常打網球，變得較為粗壯,長頸鹿的脖子長，更適合吃高處的樹葉,,,,,090基本學測二,C
375,09分類,5動物界,脊椎動物的特徵,,多種生物的比較,,,,,箱內有一隻動物，可能是老鼠、白鷺鷥、烏龜或青蛙其中一種。為了讓同學猜中箱內是何種動物，哈娜給了一個提示︰「牠的卵有殼」。如果同學可以再提一個問題，下列哪一個最有助於同學猜中箱內的動物？,,,「牠是恆溫動物嗎？」,「牠是肉食動物嗎？」,「牠是脊椎動物嗎？」,「牠是陸生動物嗎？」,,,,,090基本學測二,A
402,09分類,5動物界,動物界的特徵,,多種生物的比較,,,,,在分類上，我們將蝴蝶和草蝦歸為一類，那麼依此原則，蚊子可和下列哪一種動物歸為同一類？,,,螃蟹,蝌蚪,蛤蜊,海馬,,,,,090基本學測二,A
416,10生態,1族群與群集,從食物網預測族群變化,,,,,,,圖為某地區生物的食性關係，若該地的蝗蟲被消滅，則下列何者在短時間內，數量將明顯減少？,m0307,,兔,鳥,羊,豹,,,,,090基本學測二,B
4,01生命世界,1顯微鏡,物鏡的視野,,,,,,,小安用10X的物鏡觀看某植物的孢子，在顯微鏡的視野中看到這顆孢子的一部分如圖所示，如果他要看到完整的孢子，應選用下列哪一個物鏡最能達到此目的？,m0001,,, ,,,m0002,m0003,m0004,m0005,090基測題本一,A
81,02養分,1養分,熱量計算,,把表格資料畫成圖,,,,,技安因體重過重，求助於營養師。營養師設計的某餐膳食配製中主要營養素如下：脂肪40公克，醣類162公克，蛋白質48公克。則依主要營養素之熱量比例所繪製的膳食配製圖應是下列哪一個？,,,,,,,m0065,m0066,m0067,m0068,090基測題本一,A
96,02養分,3光合作用,光合作用的實驗器材,,,,,,,下圖為「測定光合作用產物」的實驗裝置。在實驗中，葉片放在酒精中的目的為何？,m0100,,酒精比水容易煮沸,酒精可溶解葉綠素,酒精可保持葉色翠綠,酒精加熱時，升溫比水快,,,,,090基測題本一,B
129,03運輸,1植物的運輸,蒸散作用,,,,,,,小華取帶葉的芹菜葉柄及去葉後的芹菜葉柄，分別插入裝有等量水的兩量筒中，裝置如圖（A），放在通風的暗室中一天後，其結果如圖（B）。則造成甲、乙量筒液面高度差異的原因為何？,m0125,,芹菜行光合作用會消耗水分,芹菜行呼吸作用會消耗水分,芹菜吸收的水分大多經由葉片的氣孔散失,芹菜吸收的水分大多經由葉片的邊緣散失,,,,,090基測題本一,C
170,04協調,2內分泌系統,內分泌功能,,,,,,,大地震發生時，先生奪門而出，並有心跳加速，血壓上升的現象；這種反應最可能是由下列何種激素引起？,,,胰島素,腎上腺素,生長激素,副甲狀腺,,,,,090基測題本一,B
198,04協調,4植物感應,向性,預測生長結果,,,,,,冬梅暑假出外旅行時，把所種植物全放在溫室，溫室有自動澆水系統。但不小心把其中一盆花撞倒如圖所示，當她一個月後回來時，這盆植物會生長得如下列哪一圖？,m0187,,   ,  ,   ,12,m0188,m0189,m0190,,090基測題本一,B
257,06生殖,5植物有性生殖,花的構造,,,,,,,小英觀察一朵花的構造，如圖所示，其中箭頭所指的是下列何種構造？,m0233,,雄蕊,雌蕊,花苞,子房,,,,,090基測題本一,B
329,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,小明的媽媽用某種殺蟲劑撲滅蟑螂，開始使用時效果不錯，但長期使用後，發現效果越來越差。造成這種現象的最可能原因為何？,,,蟑螂是活化石，適應力特別強,因為品管不好，殺蟲劑品質不穩定,殺蟲劑造成蟑螂基因突變，產生抗藥性,能抵抗殺蟲劑的蟑螂存活下來，且大量繁衍,,,,,090基測題本一,D
384,09分類,5動物界,昆蟲的特徵,昆蟲的發育階段,給特徵猜生物,,,,,下列哪種動物的生活史包括卵、幼蟲、蛹、成蟲四個階段？,,,蟋蟀,桑蠶,蝌蚪,錦蛇,,,,,090基測題本一,B
392,09分類,5動物界,脊椎動物的特徵,兩生類的特徵,給生物列特徵,,,,,根據下列檢索表判斷，青蛙屬於哪一類動物？,m0291,,甲,乙,丙,丁,,,,,090基測題本一,A
397,09分類,1命名與分類,學名的使用,,,,,,,大文看見桌上有四種生物的學名分別為：Dryas octopetala，Arnica cordifolia，Dryas bipetala和Kandelia octopetala。哪兩種生物的親緣關係最相近？,,,Dryas octopetala和Dryas bipetala,Dryas octopetala和Kandelia octopetala,Kandelia octopetala和Arnica cordifolia,Arnica cordifolia和Dryas bipetala,,,,,090基測題本一,A
448,10生態,5生態,生態綜合性問題,,,,,,,小新從野外撿了數隻漂亮的蝸牛作為寵物，用水族箱當蝸牛的家。每天用水、剩菜、剩飯餵食，並常捉出水族箱觀察牠們的行為。下列現象何者最有可能發生？,,,蝸牛會傳染寄生蟲給小新,蝸牛會傳染登革熱給小新,蝸牛在水族箱中形成生態系,蝸牛在此水族箱中為生產者,,,,,090基測題本一,A
449,10生態,7環境,熱對環境的影響,,,,,,,有關熱對環境的影響，下列敘述何者正確？,,,「溫室效應」使地球平均溫度升高，海水加速蒸發，造成海平面下降,大氣中二氧化碳的濃度升高，使地球溫暖化，有助於所有動植物的生長,大量排放熱水，進入大海後立刻被海水冷卻，不會影響該區域海洋的生態,夏天大量使用冷氣機，把室內的熱排到室外的結果，會對環境造成熱汙染,,,,,090基測題本一,D
554,10生態,7環境,汙染,,,g1102,戴奧辛是一種脂溶性的物質，在動物體內並沒有適當的酵素可以將它們分解及排除。它會造成初生嬰兒殘障、導致癌症、流產、危害免疫系統等病症。它的毒性很強，即使只用極微的量，也足以毒死動物。由於它的毒性在生物體內有累積性，在造成生物中毒前，其對健康的危害不容易被發現，因此被稱為世紀之毒。戴奧辛的汙染有許多來源，其中之一為垃圾焚化爐。垃圾焚化爐之所以產生戴奧辛，主要是垃圾中含有塑膠外皮的電線、PVC材質之塑膠袋及水管等物質，未能於安全的高溫下燃燒所致。目前各國所公認垃圾焚化之安全溫度，至少在攝氏850度以上。食物也可能含有戴奧辛，在北美洲與歐洲國家，有些農藥中含有戴奧辛的相關成分，或是有些工廠煙塵落在鄰近地區的農牧場或溪流中，被水中生物或陸上牲畜所攝食，間接地使得海產與肉類成為戴奧辛汙染的來源,,,下列哪一項處理方式與戴奧辛的產生有關？,,,將廢棄的建築材料加以掩埋,將廢礦渣固化，形成海底魚礁,將電線外皮燃燒，回收內裹的金屬,將殘餘的果皮、菜屑加工製成堆肥,,,,,090基測題本一,C
555,10生態,7環境,汙染,,,g1102,戴奧辛是一種脂溶性的物質，在動物體內並沒有適當的酵素可以將它們分解及排除。它會造成初生嬰兒殘障、導致癌症、流產、危害免疫系統等病症。它的毒性很強，即使只用極微的量，也足以毒死動物。由於它的毒性在生物體內有累積性，在造成生物中毒前，其對健康的危害不容易被發現，因此被稱為世紀之毒。戴奧辛的汙染有許多來源，其中之一為垃圾焚化爐。垃圾焚化爐之所以產生戴奧辛，主要是垃圾中含有塑膠外皮的電線、PVC材質之塑膠袋及水管等物質，未能於安全的高溫下燃燒所致。目前各國所公認垃圾焚化之安全溫度，至少在攝氏850度以上。食物也可能含有戴奧辛，在北美洲與歐洲國家，有些農藥中含有戴奧辛的相關成分，或是有些工廠煙塵落在鄰近地區的農牧場或溪流中，被水中生物或陸上牲畜所攝食，間接地使得海產與肉類成為戴奧辛汙染的來源,,,下列有關戴奧辛的敘述何者錯誤？,,,戴奧辛會隨河水散布,戴奧辛會具有生物累積的情形,戴奧辛是一類強烈病毒，傳染力很強,戴奧辛會隨空氣散佈而汙染環境,,,,,090基測題本一,C
556,10生態,7環境,汙染,,,g1102,戴奧辛是一種脂溶性的物質，在動物體內並沒有適當的酵素可以將它們分解及排除。它會造成初生嬰兒殘障、導致癌症、流產、危害免疫系統等病症。它的毒性很強，即使只用極微的量，也足以毒死動物。由於它的毒性在生物體內有累積性，在造成生物中毒前，其對健康的危害不容易被發現，因此被稱為世紀之毒。戴奧辛的汙染有許多來源，其中之一為垃圾焚化爐。垃圾焚化爐之所以產生戴奧辛，主要是垃圾中含有塑膠外皮的電線、PVC材質之塑膠袋及水管等物質，未能於安全的高溫下燃燒所致。目前各國所公認垃圾焚化之安全溫度，至少在攝氏850度以上。食物也可能含有戴奧辛，在北美洲與歐洲國家，有些農藥中含有戴奧辛的相關成分，或是有些工廠煙塵落在鄰近地區的農牧場或溪流中，被水中生物或陸上牲畜所攝食，間接地使得海產與肉類成為戴奧辛汙染的來源,,,若要降低垃圾焚化爐所產生的戴奧辛，針對下列措施，哪一項的成效最小？,,,焚化爐的燃燒溫度提高到以上,焚化爐裝置專門測量戴奧辛濃度的儀器,將玻璃、金屬等不易燃燒的垃圾，另行處理,將含PVC塑膠材質的垃圾分類，回收利用,,,,,090基測題本一,B
572,10生態,11生態,1族群與群集,,生態系的角色-從食物網判斷,g1107,,,,小文觀察住家附近生物的生態關係，並畫下食物網如圖。圖中屬於初級消費者的生物有幾種？,m0300,,1種,2種,3種,4種,,,,,090基測題本一,C
573,10生態,11生態,1族群與群集,,分析食物網,g1107,,,,小文觀察住家附近生物的生態關係，並畫下食物網如圖。如果蝗蟲滅絕後，圖中哪一種生物有最先消失的危機？,m0301,,稻米,鼠,蛙,雞,,,,,090基測題本一,C
72,02養分,1養分,熱量計算,,,,,,,下表中有四組膳食配製，每一組均為400克重。下列哪一組膳食的熱量是最低的？,m0064,,甲,乙,丙,丁,,,,,090基測題本二,A
86,02養分,3光合作用,光合作用的過程,,,,,,,小芳在一個魚缸中放入五條魚和十株水草，除了每週換水，定時餵飼料及保持穩定水溫外，應做到下列哪一點才能使魚存活？,,,定時修剪水草,要讓水草照光,定期刷洗魚缸,加水之前要先煮沸,,,,,090基測題本二,B
109,03運輸,2循環系統,血液循環路徑,,,,,,,供應腦部氧氣的血液是由心臟的哪個腔室所擠壓出來的？,,,右心房,右心室,左心房,左心室,,,,,090基測題本二,D
113,02養分,4消化系統,消化器官的位置,,,,,,,下圖為人類腸道的示意圖，圖中何處可能發生闌尾炎？,m0111,,甲,乙,丙,丁,,,,,090基測題本二,D
124,03運輸,1植物的運輸,蒸散作用,,,,,,,小明將二支芹菜柄分別插入底部有半透膜的U形管的兩端，其裝置如下圖，並放在明亮又通風的地方30分鐘後，甲乙兩端液面高度有何差別？,m0122,,甲高於乙,乙高於甲,二者一樣高,無法判斷,,,,,090基測題本二,C
136,03運輸,2循環系統,淋巴循環系統,淋巴結的功能,,,,,,阿南的腳被生鏽小刀割傷後，因傷口處理不當，幾天後發現自己腹股溝出現一個小硬塊，甚為擔心，此一硬塊最有可能為下列何者？,,,疝氣,惡性腫廇,內出血之血塊,腫脹的淋巴結,,,,,090基測題本二,D
287,06生殖,1細胞分裂與減數分裂,體細胞和生殖細胞的染色體判斷,,,,,,,果蠅複眼細胞的細胞核中有8條染色體，則其體細胞及卵細胞中的細胞核內分別有多少染色體？,,,8條，4條,8條，2對,4對，8條,4對，2對,,,,,090基測題本二,A
299,07遺傳,2人類的遺傳,性別的機率,,,,,,,有一對夫婦以繁殖動物為業，他們有一對血統純正的狗，第一胎生了2隻公的，第二胎生了2隻母的，若第三胎也是2隻（非同卵雙生），則這兩隻狗寶寶為一公一母的機率有多少？,,,1,0.75,0.5,0.25,,,,,090基測題本二,C
317,08演化,1天擇與人擇,天擇的過程,解釋現象,,,,,,濫用抗生素，導致某些細菌感染的疾病較難治癒，主要的原因是下列哪一項？,,,製藥過程發生問題,細菌能分解抗生素,細菌產生新的突變種,細菌的繁殖速度改變,,,,,090基測題本二,C
366,09分類,5動物界,節肢動物的特徵,節肢動物(蝦)的特徵,給生物列特徵,,,,,蝦屬於節肢動物門，有關蝦的敘述，下列何者正確？,,,體節的附肢都有分節,頭胸部的附肢主要是游泳的功能,蝦子的鰓位於腹部,蝦的殼可不斷長大，不須蛻換,,,,,090基測題本二,A
381,09分類,4植物界,被子植物的特徵,,給特徵猜生物,,,,,下圖是某種植物的花，則該植物具有下列何種特徵？,m0280,,葉脈為平行脈,精、卵結合需要以水分作為媒介,種子裸露，不藏於果實中,種子有二枚子葉,,,,,090基測題本二,D
390,09分類,5動物界,動物界的特徵,,多種生物的比較,,,,,小明將6種生物依某一標準作分類，結果如下圖，下列何者是他所依據的分類標準？,m0298,,脊椎骨的有無,體溫是否恆定,受精方式的不同,生殖方式的不同,,,,,090基測題本二,A
451,10生態,1族群與群集,族群大小,,,,,,,春蘭利用標識放回法估算瓶中的黑豆數，她用不同顆數的黃豆作為標識，充分混合在黑豆中，得到數據如下表。下列何者不能使估算值更趨準確？,m0308,m0309,取樣的次數增加,取樣中的總豆數增加,放入瓶中的黃豆數增加,瓶中的黑豆數增加,,,,,090基測題本二,D
453,10生態,6生物多樣性,生物多樣性的觀念,,,,,,,有關生物多樣性的觀念，下列何者不恰當？,,,生物多樣性有利於維持生態系的平衡,生物多樣性，有利於自然界中物質的循環與能量的流動,引入世界各地不同的生物，以增加臺灣的生物多樣性,與人類沒有直接利益及關係的生物，也應該保留下來,,,,,090基測題本二,C
575,10生態,7環境,汙染,,優養化發生的原因,g1108,,,,有個農村位於小河邊，如下圖，村裡住了幾戶農家，他們種田耕作，還養豬和養雞。農村附近有家小型的電鍍工廠，專作鍍銅的器材。某天有個生態調查員在河流下游的池塘作研究，發現池塘裡藻類大量繁殖，形成藻華的現象。藻華現象的產生，與下列哪一種物質排入池塘中的關係最小？,m0334,,含有動物食餘及排泄物的廢水,日常生活汙水中的含磷清潔劑,電鍍工廠的鍍銅廢液,農田流出的農業肥料,,,,,090基測題本二,C
576,10生態,7環境,汙染,,優養化發生的結果,g1108,,,,有個農村位於小河邊，如下圖，村裡住了幾戶農家，他們種田耕作，還養豬和養雞。農村附近有家小型的電鍍工廠，專作鍍銅的器材。某天有個生態調查員在河流下游的池塘作研究，發現池塘裡藻類大量繁殖，形成藻華的現象。池塘中形成藻華後，經過一段時間，調查員再次研究該池塘，發現其中藻類大量死亡，下列何者最能表示池塘中的變化情形？,m0335,,,,,,m0336,m0337,m0338,m0339,090基測題本二,D
2,01生命世界,2動植物細胞的比較,細胞構造的比較,,,,,,,細胞核具有下列何種功能？,,,含有葉綠體可進行光合作用,含遺傳物質是細胞的生命中樞,具有支持作用可防止細胞變形,為氧化物質產生能量的主要場所,,,,,091基本學測一,B
28,01生命世界,1顯微鏡,顯微鏡移動方向,,,,,,,嘉欣使用複式顯微鏡觀察植物的葉下表皮，下圖為視野中所見的細胞。嘉欣想將箭頭所指的細胞，移至視野中央，應將玻片往哪一方向移動？,m0026,,右上,右下,左上,左下,,,,,091基本學測一,D
