年度,科目,題號,題目
110,國文,11,11.「當我們談論一個人的『能力』時，一般人通常認為這是指個人在某一領域的專業知識而言。因此，在追求能力的成長時，也只專注於專業知識的不斷提升。但是，我們常會發現，兩個專業知識水平相當的人處理相同的事物，產生的結果與成效卻往往並不一樣，甚至有些專業知識相對較低的人，處理起事物來反而得到較好的結果。」下列何者最接近這段文字的觀點？(A)號稱專業的人未必具有專業的知識(B)人應廣博涉獵各類知識以免視野受限(C)專業知識較低者往往具有較高的協調能力(D)
110,國文,12,12.「王翁廢其左足，苦臭蟲穴榻延幔連移，夏夜莫得即枕。晨見僵蟲於地，蟻聚嘬之，乃大喜，將求蟻以嘬其蟲。揚糖屑於地，引及其臥處，大饗蟻，蟻果1大至。沿鬚循髮皆蟻也，而翁之擾彌甚，將力起以清其榻，遽撲地死。」下列何者最適合描述故事中王翁的行為？(A)只顧自身安危，以致傷及無辜1.嘬：音ㄔㄨㄞˋ，咬(B)因為尊重生命，反而傷及自身(C)本想消弭禍害，反使禍害擴大(D)
110,國文,13,13.孟浩然少隱鹿門山，四十乃遊京師。後得見玄宗，帝命吟近作，誦至「不才明主棄，多病故人疏」之句，帝慨然曰：「卿不求仕，朕何嘗棄卿，奈何誣我！」因命放歸山中。根據這則故事，下列關於孟浩然與玄宗的敘述，何者最恰當？(A)孟浩然選拔賢才的諫言，讓玄宗感慨(B)孟浩然久隱而後出仕，玄宗不以為然(C)玄宗認為孟浩然詩中之怨無理，因而不悅(D)
110,國文,14,14.「山翠繞湖，容態百逞，獨春朝最佳。或霧截山腰，或霞橫樹梢。或淡煙隱隱，搖盪晴暉；或巒氣浮浮，掩映曙色。峰含旭日，明媚高張；風散溪雲，林皋爽朗。更見遙岑迥抹柔藍，遠岫忽生濕翠，變幻天呈，1234頃刻萬狀。奈此景時值酣夢，恐市門未易知也。」關於這段文字的分析，下列敘述何者最恰當？(A)以從早至晚的時間為軸1.皋：水邊的低地(B)空間的描述自遠方拉近2.岑：小而高的山(C)以山景為重心鋪展全文3.迥：遠(D)通篇寫景不帶主觀判斷4.岫：峰巒
110,國文,15,15.「真宗時，京師民家子有與人鬥者，其母追而呼之不止，母顛躓死。法官處其罪，當笞。上曰：『母呼不止，違犯教令，當徒二年，何為笞也。』群臣無不驚服。」下列關於故事中人物的敘述，何者最恰當？(A)(B)群臣不贊成真宗的判決民家子與人相鬥時錯殺其母(C)(D)
110,國文,16,16.「天色逐漸轉淡轉灰，你的前額繼續泛發著感動的微汗，臉上輝映著夕照。一時之間，你懷疑自己所見並不是真實的。或許那只是現實下想像的夢境，_____________又或許，你正是那萬中選定的一個，，望見梅里褪去雪霧和雲翳的嵯峨表情。」根據文意脈絡，畫線處最適合填入下列何者？(A)(B)沐浴在熹微的晨光中有幸在日夜更迭之前(C)(D)
110,國文,17,17.「我曾住一民宿，老闆夫婦整地花了兩年，蓋木屋又花兩年，我坐在他們的海畔露臺發呆，見兩人不住手地洗曬、打掃、烹煮、修繕……。晚餐過後，終於得空歇手，他們拿來滷菜與我們飲食閒聊，屈指數算每日固定的勞務，就算沒有房客也不可思議地多。大破大立都容易，維持最難；人尋死覓活都容易，賴活最難。」這段文字的意涵與下列何者最接近？(A)真實的生活一直都是件辛苦的事(B)保持悠閒的心情才能愉悅的生活(C)小人物就算辛勤工作，也不容易翻身(D)
110,國文,18,18.「量詞」是用以表示人、事、物或動作的單位詞，例如「一個」的「個」。下列〈空城計〉中的文句，何者「」內不是「量詞」？(A)引二小童，攜琴一「張」(B)忽然十餘「次」飛馬報到(C)大開四門，每一「門」上用二十軍士(D)
110,國文,19,19.關於本詩詩意的解說，下列敘述何者最恰當？(A)人們通過抱怨、傾訴、引吭，得以釋放情緒(B)老闆的臉色，因為夜晚遊人湧至而轉憂為喜(C)乘船夜遊的人們，通宵達旦飲酒划拳以取樂(D)
110,國文,20,20.「道地的麻婆豆腐，應該腴澤濃滋，麻、辣、燙、香、酥、鮮、嫩等七味俱全，然而一般館子做出來的，通常是一盤汪著紅油的豆腐羹，勉強有兩三味，但辣而無香、燙而不鮮，缺麻少酥更不在話下。嫩倒是嫩，因為用的是方便的盒裝豆腐，然而平板厚鈍如洋菜凍，既無豆香亦吸不進肉味，和油醬肉末貌合神離，即使以厚芡收攏兜搭，依然老死不相往來，滋味遂渙散失魂、元神出竅浮在表面。」關於這段文字的寫作手法，下列敘述何者最恰當？(A)以層遞手法指出麻婆豆腐的烹調祕訣(B)以洋菜凍比喻道地麻婆豆腐彈性十足(C)以擬人方式形容一般餐館麻婆豆腐不入味(D)
110,國文,21,21.【甲】不喜秦淮水，生憎江上船。載兒夫婿去，經歲又經年。【乙】那年離別日，只道住桐廬。桐廬人不見，今得廣州書。這兩首以商旅人家為題材的歌謠，假設都採用同一個角色的觀點來敘述，這個角色最可能是下列何者？(A)商人(B)商人婦(C)轉述他人故事的第三者(D)
110,國文,22,22.「外國知名樂團來臺灣開演唱會，掀起『登臺』旋風。」句中「登臺」的「臺」含有「臺灣」及「舞臺」的雙重意思。下列文句「」中的詞語，何者也使用了相同的修辭方法？(A)能通德義「日英」語，接待遠近中外人(B)千古英雄浪淘盡，天下「名山」僧占多(C)綠水「青山」，常在眼目；清風明月，不須錢財(D)
110,國文,23,23.【甲】觀其交遊，則其賢、不肖可察也。【乙】貴視其所舉，富視其所與，貧視其所不取，窮視其所不為。這兩句話主要是在說明下列何者？(A)修身的原則(B)做事的態度(C)識人的方法(D)
110,國文,24,24.某學者舉辦學術論文發表會，友人致贈花籃，卡片上的題辭最適合填入下列何者？(A)聲重士林(B)商賈輻輳(C)師表千古(D)
110,國文,25,25.「研究者寫文獻回顧不能像在做剪貼簿，不要讓引文孤伶伶地站在那裡。最好在1引文前說明你對它的評價，在後面說明它的深刻含意，這樣雙管齊下夾注中間的引文，一方面確認讀者會讀到與你相同的意思，一方面顯示你能夠駕馭文獻的能力。」根據這段文字，下列關於文獻回顧的敘述，何者最恰當？(A)應有研究者自己的看法與解讀(B)宜多方援引，不能只獨引一項1.引文：引用的文獻(C)引文之後須以夾注方式深入解說(D)
110,國文,26,26.「懷才就像懷孕一樣，只要有了，時間一久就會被發現。」這句話的涵義與下列何者最接近？(A)欲知人者必先自知(B)賢愚在心，不在貴賤(C)君子疾沒世而名不稱焉(D)
110,國文,27,27.下列何者最可能是唐代書法家張旭最具代表性的書體作品？(A)(B)(C)(D)
110,國文,28,28.下列文句「」中的語詞，何者使用最恰當？(A)別人的意見當成參考即可，凡事「毋庸」堅持己見(B)試鞋時不煩穿脫，須多方「揣測」，以免將來不合腳(C)他囿於「門戶」之見，對其他管道推薦的人才深感疑慮(D)
110,國文,29,29.下列文句，何者用字完全正確？(A)小松家境清寒，因而輟學打工，這樣的選擇時在是出於無奈(B)人人提高警覺，杜絕貪念，狡猾的詐騙集團就只能白費心機(C)小穎個性溫和，與他人發生衝突時，總是採取習事寧人的態度(D)
110,國文,30,30.曾作霖〈珠潭浮嶼〉：「山中有水水中山，山自凌空水自閒。誰劃玻璃分色界，倒垂金碧浸煙鬟。蓬萊可許乘風到，艋舺知為舉火還。別有洞天123開海外，人家雞犬絕塵寰。」下列關於詩句的分析，何者最恰當？4(A)「倒垂金碧浸煙鬟」――描述水中倒影(B)「蓬萊可許乘風到」――形容遙遠難至1.煙鬟：雲霧繚繞的山峰(C)「別有洞天開海外」――強調海景壯麗2.蓬萊：傳說中的仙山(D)
110,國文,31,31.「『紫禁城』是皇族居住的內城。『紫』是指紫微星垣，星座名，天上三垣之一。紫微星垣居中央，太微、天市居兩旁，故用以代稱皇帝。而皇帝居住的內城嚴禁百姓靠近，所以稱為紫禁城。如唐代王維〈敕賜百官櫻桃〉詩即有『芙蓉闕下會千官，紫禁朱櫻出上闌』之句。」根據這段文字，下列敘述何者最恰當？(A)「紫禁」原指紫微星垣(B)王維曾奉敕入住紫禁城(C)太微、天市二城分居紫禁城兩側(D)
110,國文,32,32.下列關於球賽的報導，何者句意通暢、用語最為恰當？(A)在無人防守之下，他一意孤行，很快將球帶過中場(B)雙方球員皆一時之選，在激烈的競爭中形成拉鋸戰(C)他仗著身高輕鬆扣籃，正所謂先天優勢不及後天努力(D)
110,國文,33,33.《論語》：「子路有聞，未之能行，唯恐有聞。」說明子路是一位即知即行的人，深怕無法立即實踐所聽到的道理。這句話中「有」與「聞」二字的音義說明，下列何者最恰當？(A)「子路有聞」的「有」字，音ㄧㄡˇ，多(B)「子路有聞」的「聞」字，音ㄨㄣˊ，名氣(C)「唯恐有聞」的「有」字，音ㄧㄡˋ，通「又」(D)
110,國文,34,34.根據這則說明，下列四位具行為能力與還款財源的本國國民，何者最可能申請到留學貸款？(A)100小方：以百萬名車為擔保品，替妻子貸款萬元到日本讀大學(B)小葉：以土地和房子為擔保，讓年邁的父親到夏威夷一圓博士夢(C)240小蔡：有透天厝作為擔保品，為自己申請萬元到國外唸碩士(D)
110,國文,35,35.根據本文，所謂閱讀的「電腦化」，其特性最不可能包含下列何者？(A)以「掃瞄」方式閱讀，獲得大量資訊(B)透過他人的摘要與引介，能快速吸收(C)閱讀時淺嘗輒止，以求提高閱讀數量(D)
110,國文,36,36.根據本文，下列何者最符合作者的觀點？(A)讀者無法透過經典獲得結論或答案(B)電腦化的閱讀有助提升處理資訊的能力(C)快速而大量的閱讀有助於開啟人心思維(D)
110,國文,37,37.阿康出海捕到一隻生物，身體呈長筒狀，鰭約等同於體長，八腕，另有一對觸腕，剖開後發現內有白色厚殼。根據此表判斷，這隻生物最可能是下列何者？(A)(B)(C)(D)
110,國文,38,38.根據這張圖表，下列敘述何者最恰當？(A)透抽的眼球外露，有透明薄內殼(B)軟絲身體長，有白色厚內殼，鰭橢圓(C)烏賊和墨斗仔的區別在於有無一對觸腕(D)
110,國文,39,39.本文畫線處的文句，何者運用了與「人生總是有意外，也像玻璃般易碎」這句話相同的修辭技巧？(A)(B)(C)(D)
110,國文,40,40.作者在最後一段說明的道理，最可能是下列何者？(A)面對事情的態度會影響事情的結果(B)最可貴的收穫來自於過程而不是結果(C)真金不怕火煉，有實力的人終會綻放光芒(D)
110,國文,41,41.1994根據本文，越南咖啡市占率在年躍升，其最關鍵的因素應是下列何者？(A)臺商大量投資栽種優良品種的咖啡(B)出口貿易順暢加上巴西咖啡大歉收(C)越南咖啡品質優於哥倫比亞與印尼(D)
110,國文,42,42.在越南，臺商種植的阿拉比卡豆價格能高於當地農民種植的咖啡豆，其原因不包含下列何者？(A)製作過程繁複(B)施肥次數頻繁(C)品種嬌弱量少(D)
110,國文,43,43.根據畫線處文意，領導者的「原本設想」最可能是指下列何者？(A)要建立員工對他的信任非常困難(B)向員工請教應該會失去他們的信任(C)向員工尋求協助往往能得到員工的信任(D)
110,國文,44,44.根據本文，公司應如何提高員工的信任度？(A)讓員工對自己負責(B)讓同事之間更加親近(C)減輕員工的工作負擔(D)
110,國文,45,45.根據本文，下列何者最不符合作者的觀點？(A)松濤若天籟，可悅耳慰心(B)松樹品種越珍奇則越長壽(C)松樹四時常青，各有風采(D)
110,國文,46,46.關於本文寫作手法的分析，下列何者最恰當？(A)以擬人手法形容松樹無畏風雨的精神(B)以箏、笛、鼓等樂器比喻松樹的形貌(C)藉牡丹、菊花的妍麗貶抑松樹無花可賞(D)
110,國文,47,47.根據本文，下列「」中的詞語，何者解釋最不恰當？(A)「望風」不敢問：觀望情勢1.逋負：拖欠賦稅(B)追逮「囚繫」：囚禁於監牢(C)賦入「不時」：不按時(D)
110,國文,48,48.根據本文，下列敘述何者最恰當？(A)劉丞相譴責廬陵縣尉程珦執法不公(B)族人的欠款最終由劉丞相代為償還(C)官吏多畏於劉丞相權勢，而不追查欠稅案情(D)
110,英語,1,"1.  (In the police station)A B C DWhen the police ask Chris who took his wallet on the bus, he points to the person who has long hair and is wearing a hat, a vest, and pants.  Look at the picture.  Who is the person Chris points to?(A) A.        (B) B.  (C) C.        (D) D."
110,英語,2,"2.  The       snow last weekend stopped us from going out, so we just watched TV at home.(A) common  (B) enough  (C) full  (D) heavy "
110,英語,3,"3.  When Cindy       cleaning her room, she looked around and felt proud of herself. (A) finished   (B) liked   (C) minded   (D) missed   "
110,英語,4,"4.  Every time my family goes out, my brother is always the last one to      .  We often have to wait for him for a long time.(A) cheer up   (B) get ready   (C) give up   (D) slow down"
110,英語,5,5.  Lisa is happy that she got a good       on her history test.  She prepared for it for days.(A) grade  (B) idea  (C) lesson  (D) question 
110,英語,6,6.  The famous writer likes to write at this coffee shop.  He comes in the early morning and stays here writing       it is closed.(A) after     (B) because  (C) until  (D) when
110,英語,7,7.  The little boy often asks his father       candies and cookies for him.(A) buy  (B) buys  (C) buying  (D) to buy
110,英語,8,8.  Kyle’s so       that he always thinks he’s right.  That’s why he never says sorry even when he does something wrong.(A) lazy  (B) proud  (C) quiet  (D) serious
110,英語,9,9.  The cellphones that       in that country are good but expensive.(A) make  (B) are making  (C) have made  (D) are made
110,英語,10,"10.        the map that Ryan had drawn for us, we were able to find this beautiful old church.(A) About  (B) Beside    (C) Under  (D) With"
110,英語,11,"11.  During the race yesterday, Julie       got to the finish line first.  However, she fell at the last second and only came in third in the end.(A) almost  (B) already  (C) finally  (D) quickly"
110,英語,12,"12.  After the fire, everyone in the apartment was       when they cooked.  They did not want any people to be hurt again.(A) more carefully  (B) more careful  (C) the most careful  (D) the most carefully"
110,英語,13,13.  Tom: I need an eraser.  Can I use yours?Judy: Sure.  I’m not using       now.(A) another  (B) each  (C) it  (D) yours
110,英語,14,14.  Ms. Lee:       did you get this beautiful card?Mr. Wang: One of my students made it for me.  She sends me a card every year.(A) Who        (B) Where       (C) When      (D) What 
110,英語,15,"15.  John: Will you be at Linda’s party this Sunday?  I’d like you to meet my girlfriend.Tony: Sure, if Linda       me.  But I haven’t got any call yet.(A) will invite     (B) had invited   (C) has invited     (D) invites"
110,英語,16,16.  Here is the road sign Peyton saw when she was riding a bike to the train station.  Where did she most likely see it?  (A) A. Train Station  likely 可能(B)  B. Gray Road(C) C. Orange Road(D) D.     
110,英語,17,"17.   Aprille was going home after buying some bread.  Out of the bakery, she turned left, went straight, and then turned right on White Street.  She walked down one block and then turned left on Gray Road.  At the end of Gray Road, she turned right and walked until she saw the theater.  She turned at the corner across from the theater and got to her apartment in a few minutes.  Where did Aprille NOT pass by on her way home?(A) The café.     (B) The CD shop.   (C) The bookstore.   (D) The post office."
110,英語,18,18.  What does Swan City want people to paint?(A) Places in the city that children love.(B) What the city will be like in the future.(C) Places in the city that few people know.(D) What the city was like in their grandparents’ time.
110,英語,19,19.  What can we learn from the reading?(A) The paintings cannot be made on the computer.(B) The winners cannot sell the paintings to any newspapers.(C) The winning paintings will be collected in a picture book.(D) Colby Lane will help the city choose the ten best paintings.
110,英語,20,20.  What do we know about Dora?(A) She went to France with Jason.(B) She visited the Louvre in Lens.(C) She is not good at taking pictures.(D) She had trouble deciding which photo to choose.
110,英語,21,21.  Which is most likely said in the book that Jason read? likely 可能(A) Our faces work to show how we feel.(B) We need a good camera to take nice pictures.(C) It is good for your health to sleep on your side.(D) It takes practice to paint like Leonardo da Vinci.
110,英語,22,22.  What does this one most likely look like?   (A)   (B)    (C)     (D)
110,英語,23,"23.  From the reading, what are   about?(A) Problems Fresh Start needs to fix.   (B) Questions about Fresh Start’s prices. (C) Words from Fresh Start’s best workers.  (D) People’s good experiences with Fresh Start."
110,英語,24,24.  What can we know about Fresh Start from the reading?(A) It helps people move abroad.     (B) It does not help with packing.(C) Its office is in the south of Taiwan.   (D) It charges half price for moving a second time.
110,英語,25,25.  What does it mean in the reading?(A) Paying a little more for moving in a short time. (B) Moving across the country in a day.     (C) Being serious about phone calls.       (D) Being the best on the market.
110,英語,26,26.  What is the reading for? (A) Selling movie tickets to fans of a famous castle.(B) Getting people to visit a castle that appears in a movie.(C) Finding actors for a movie that will be made in a castle.(D) Inviting people to watch a movie that will play in a castle. 
110,英語,27,27.   What can we learn from the reading? (A) Lady Mary died in the castle.  (B) Sir William and Sir Anthony were family. (C) Sir Anthony was killed in a fire.   (D) Lady Helen first met Sir Anthony at the castle.
110,英語,28,28.  What does the reading say about Highland Castle? (A) It does not belong to the Airyman family now.   (B) It was a gift from Sir Anthony to Lady Helen.  (C) It was not opened for visits until 1801. (D) It has been kept as it was in 1625.
110,英語,29,29.  What do Sophia’s book and the letter she found have in common? have...in common(A) Both tell the sad stories of the writers’ families.        有……共同點(B) Both tell people to forget about the past and move on. (C) Both show how much the writers want to find somebody.(D) Both show why the writers care about a stranger they once met.
110,英語,30,"30.  Many people called soon after Sophia’s book came out.  Which call is most likely true?(A) “I’m Judy, Mason’s aunt.  Sorry to tell you that Noah, Mason’s father, died yesterday.  As a father who had lost his son for over twenty years, Noah wanted to thank you for making sure that Mason was not forgotten . . . .”(B) “I’m Mason’s father.  Thanks to your book, Mason finally came home.  He has grown into a teenager.  I can’t believe I can have Mason back after years of . . . .” (C) “This is Mason calling.  Thanks for everything.  A bad guy took me away from our house fifteen years ago.  A nice woman saved me, but I was too little to tell her where my home was . . . .”(D) “I’m Adam, Mason’s best friend.  We both celebrated our fiftieth birthday this week.  I "
110,英語,31,31.  What is the reading mostly about?(A) Why people have synesthesia.   (B) What it is like to have synesthesia.(C) What kinds of synesthesia there are.  (D) How to help people with synesthesia.
110,英語,32,32.  What does it mean when someone has their individual experience? (A) Their experience is helpful to them.(B) Their experience is different from others’. (C) Their experience stays in their mind for a long time.(D) Their experience changes their way of seeing the world.
110,英語,33,"33.  What do we know about people with synesthesia from the reading?(A) There are no more than 2,000 of them in the world. (B) Few of them have more than one kind of synesthesia. (C) Their experience of synesthesia does not change with time.(D) They can choose when to have the experience of synesthesia."
110,英語,34,34.  Which sentence may Meggie say when she tells you about her experience of synesthesia? (A) “The name Laura is in bright purple.” (B) “The sound of drums touches my back.”(C) “The word zero tastes like a green apple.”(D) “The taste of fish appears as a green cloud.”
110,英語,35,35.  (A) get      (B) will get      (C) got     (D) would get
110,英語,36,36.  (A) would be    (B) will be      (C) has been    (D) is 
110,英語,37,37.  (A) is      (B) has been      (C) will be    (D) would be
110,英語,38,38.  (A) I’ll tell     (B) I told       (C) I’ve told     (D) I’m telling
110,英語,39,39.  (A) how many greenhouse gases there are  (B) how long greenhouses have been used  (C) what a greenhouse is and how it works  (D) what greenhouse gases are and where they come from
110,英語,40,40.  (A) there are many kinds of greenhouse gases  (B) greenhouse gases are dangerous for our earth  (C) the atmosphere around our earth is getting thinner  (D) our earth would be too cold for life without greenhouse gases
110,英語,41,41.  (A) At last  (B) Even so  (C) For example  (D) What’s worse
110,數學,1,"1.圖(一)的坐標平面上有一點(3,3)與另外四點A、B、yCD、，根據圖中各點的位置判斷，下列哪一點的坐標A(1,2)最可能為？(3,3)(A)ABD(B)BC(C)CxO(D)D"
110,數學,2,2.2021÷+2021算式5×5之值與下列哪一個式子的值相等？58(A)2021(+)×8588(B)2021(+)×5558(C)2021÷(+)8588(D)2021÷(+)
110,數學,3,3.(3x−2)(x+1)計算的結果，與下列哪一個式子相同？(A)3x2+x−1(B)3x2+x−2(C)3x2−2x+1(D)3x2−2x−2
110,數學,4,4.()下列哪一個一元二次方程式有重根兩根相等？(A)x2+4x+1=0(B)x2+4x+2=0(C)x2+4x+3=0(D)x2+4x+4=0
110,數學,5,5.()ABCDabcdbd圖二數線上的、、、四點所表示的數分別為、、、。若、互為相反數，則根據圖中各點位置，判斷下列敘述何者正確？(A)a<cABCD(B)a<dabcd(C)a+c<0()圖二(D)a+d>0
110,數學,6,6.5+25+45算式之值為何？(A)53(B)155(C)5+45(D)5+105
110,數學,7,7.下列選項中的數列，哪一個不是等差數列？1111(A)1234，，，77771234(B)1234，，，77773456(C)1245，，，77772461(D)1235
110,數學,8,8.()OO如圖三，平面上圓與圓相交於兩點，且兩圓12O將平面分成甲、乙、丙、丁四個互不重疊的區域，其中2O(cid:908)圓O、圓O的半徑分別為8、5。若有一點A與O點、1(cid:1063)121O76A2點的距離分別為、，則點的位置在下列哪一個(cid:1176)(cid:909)區域？(A)甲圖(三)(B)乙(C)丙(D)
110,數學,9,9.41234()已知甲、乙兩袋皆裝有顆分別標記數字、、、的球，如圖四所示，且小祥打算從兩袋中各抽出一顆球。若甲袋中的每顆球被抽出的機會相等，乙袋中的每顆球被抽出的機會相等，則小祥從兩袋各抽出一球後，甲袋中33剩餘顆球的數字和會小於乙袋中剩餘顆球的數字和的機率為何？1(A)(cid:1176)(cid:908)4111(B)32343243(C)圖(四)85(D)
110,數學,10,10.A=(3x2+10x−8)(3x2+4x−4)A若多項式，則下列何者為的因式？(A)(x+2)2(B)(x+4)2(C)(3x−2)2(D)(3x−4)2
110,數學,11,11.某網購平臺的統計顯示，消費者在該平臺一年內購買的抽取式衛生紙，堆疊2101101起來的高度大約為萬座臺北大樓的高度。已知臺北大樓的高度約509為公尺，則在該網購平臺上，消費者一年內購買的抽取式衛生紙堆疊起來的高度大約為多少公尺？(A)106(B)107(C)108(D)109
110,數學,12,12.()圖五是阿梅與肉粽店老闆的對話情形。33(cid:1332)(cid:5605)(cid:500)(cid:1498)(cid:3907)(cid:3751)(cid:1379)(cid:3751)(cid:1357)(cid:1937)(cid:4169)(cid:500)(cid:1538)(cid:907)(cid:3208)(cid:3309)(cid:4780)(cid:3751)(cid:1357)(cid:1338)(cid:4497)(cid:1937)(cid:4669)(cid:5298)212(cid:1357)(cid:1338)(cid:4497)(cid:502)(cid:1338)(cid:4497)(cid:1498)(cid:3327)(cid:1023)(cid:1295)(cid:1379)(cid:993)(cid:502)(cid:1050)(cid:3751)(cid:1357)(cid:1338)(cid:4497)(cid:1937)(cid:4669)(cid:5298)(cid:1261)224(cid:993)(cid:502)777(cid:907)(cid:1357)(cid:3208)(cid:907)(cid:1357)(cid:3208)(cid:907)(cid:1357)(cid:3208)()圖五若每顆肉粽折扣前的價錢均相同，則根據圖中的內容，判斷每顆肉粽折扣前的價錢為多少元？(A)32(B)33(C)34(D)35
110,數學,13,13.()ABCDEFGHEPQRSTG如圖六，正八邊形、正六邊形ALDETL分別在直線的兩側，其中、、三點在直線上。FL以下是甲、乙兩人提出的看法：BTSE()AHQR甲直線與直線相交於一點CDR()HGPQ乙直線與直線相交於一點PQ對於兩人的看法，下列判斷何者正確？()圖六(A)兩人皆正確(B)兩人皆錯誤(C)甲正確，乙錯誤(D)
110,數學,14,14.()EABCDAD=BCD如圖七，為四邊形內部一點。若，則根據圖中標示的角與角度，求∠1與∠2的度數和30°為多少？A50°(A)80E(B)901(C)100B50°30°2(D)110
110,數學,15,15.下列四個盒狀圖分別呈現出四組資料的分布情形。根據四分位距判斷，哪一組資料的中間百分之五十的資料最分散？(A)(B)010203040010203040(C)(D)
110,數學,16,16.媽媽準備了紅茶、鮮奶及若干個完全相同的杯子，並將所有的紅茶及一部分3:16的鮮奶以的體積比混合成鮮奶茶。若鮮奶茶剛好倒滿個杯子，而剩下4的鮮奶剛好倒滿個杯子，則媽媽準備的紅茶與鮮奶的體積比為何？(A)1:1(B)3:5(C)6:4(D)9:11
110,數學,17,"17.(4,a)(12,a)a已知坐標平面上有一拋物線通過、兩點，其中為一數。若下列選項的二次函數中，其中一個的函數圖形為此拋物線，則此二次函數為何？(A)y=x2−16x+40(B)y=x2+16x+40(C)y=2x2−16x+40(D)y=2x2+16x+40"
110,數學,18,18.()G∆ABCAGBCA如圖八，為的重心，直線與相交DECDGEBCBE=5於點，點在上且⊥。若，CE=3GE=2AG，，則的長度為多少？(A)13G(B)29(C)23BDEC(D)25圖(八)
110,數學,19,19.AB10有一以、兩地為端點的直線道路，其路邊每隔公里便設置一個告示牌，A()告示牌上標示了該告示牌位置與地之間的距離，如圖九所示。今有AB一輛車在此道路上從地往地行駛，且行駛過程中，該車的速率均介於92989:0030每小時到公里之間。若該車於時遇到標示公里的告示牌，11:00時遇到另一個告示牌，則此告示牌上標示的距離為何？(A)190公里1020(B)200公里(cid:998)(cid:998)(cid:47)(cid:47)(cid:47)(cid:47)(cid:47)(cid:47)(cid:47)(cid:1626)(cid:1626)(C)210公里AB(D)220
