年度,類別,科目,題號,數值
112,通過率,數學,12,0.58
112,通過率,社會,12,0.93
112,通過率,自然,12,0.59
112,通過率,國文,13,0.61
112,通過率,英語聽力,13,0.84
112,通過率,英語,13,0.58
112,通過率,數學,13,0.5
112,通過率,社會,13,0.62
112,通過率,自然,13,0.67
112,通過率,國文,14,0.78
112,通過率,英語聽力,14,0.74
112,通過率,英語,14,0.62
112,通過率,數學,14,0.56
112,通過率,社會,14,0.68
112,通過率,自然,14,0.56
112,通過率,國文,15,0.69
112,通過率,英語聽力,15,0.69
112,通過率,英語,15,0.58
112,通過率,數學,15,0.42
112,通過率,社會,15,0.48
112,通過率,自然,15,0.74
112,通過率,國文,16,0.67
112,通過率,英語聽力,16,0.69
112,通過率,英語,16,0.52
112,通過率,數學,16,0.5
112,通過率,社會,16,0.54
112,通過率,自然,16,0.59
112,通過率,國文,17,0.58
112,通過率,英語聽力,17,0.65
112,通過率,英語,17,0.63
112,通過率,數學,17,0.49
112,通過率,社會,17,0.72
112,通過率,自然,17,0.6
112,通過率,國文,18,0.84
112,通過率,英語聽力,18,0.61
112,通過率,英語,18,0.49
112,通過率,數學,18,0.43
112,通過率,社會,18,0.65
112,通過率,自然,18,0.59
112,通過率,國文,19,0.73
112,通過率,英語聽力,19,0.71
112,通過率,英語,19,0.56
112,通過率,數學,19,0.48
112,通過率,社會,19,0.65
112,通過率,自然,19,0.62
112,通過率,國文,20,0.48
112,通過率,英語聽力,20,0.57
112,通過率,英語,20,0.36
112,通過率,數學,20,0.43
112,通過率,社會,20,0.58
112,通過率,自然,20,0.65
112,通過率,國文,21,0.58
112,通過率,英語聽力,21,0.49
112,通過率,英語,21,0.49
112,通過率,數學,21,0.41
112,通過率,社會,21,0.78
112,通過率,自然,21,0.54
112,通過率,國文,22,0.64
112,通過率,英語,22,0.47
112,通過率,數學,22,0.27
112,通過率,社會,22,0.72
112,通過率,自然,22,0.69
112,通過率,國文,23,0.51
112,通過率,英語,23,0.45
112,通過率,數學,23,0.23
112,通過率,社會,23,0.8
112,通過率,自然,23,0.65
112,通過率,國文,24,0.39
112,通過率,英語,24,0.75
112,通過率,數學,24,0.69
112,通過率,社會,24,0.5
112,通過率,自然,24,0.55
112,通過率,國文,25,0.76
112,通過率,英語,25,0.76
112,通過率,數學,25,0.59
112,通過率,社會,25,0.56
112,通過率,自然,25,0.5
112,通過率,國文,26,0.73
112,通過率,英語,26,0.65
112,通過率,社會,26,0.42
112,通過率,自然,26,0.53
112,通過率,國文,27,0.94
112,通過率,英語,27,0.56
112,通過率,社會,27,0.46
112,通過率,自然,27,0.52
112,通過率,國文,28,0.9
112,通過率,英語,28,0.67
112,通過率,社會,28,0.56
112,通過率,自然,28,0.57
112,通過率,國文,29,0.82
112,通過率,英語,29,0.63
112,通過率,社會,29,0.71
112,通過率,自然,29,0.55
112,通過率,國文,30,0.78
112,通過率,英語,30,0.61
112,通過率,社會,30,0.68
112,通過率,自然,30,0.53
112,通過率,國文,31,0.79
112,通過率,英語,31,0.58
112,通過率,社會,31,0.39
112,通過率,自然,31,0.5
112,通過率,國文,32,0.78
112,通過率,英語,32,0.51
112,通過率,社會,32,0.51
112,通過率,自然,32,0.45
112,通過率,國文,33,0.82
112,通過率,英語,33,0.66
112,通過率,社會,33,0.44
112,通過率,自然,33,0.43
112,通過率,國文,34,0.81
112,通過率,英語,34,0.63
112,通過率,社會,34,0.71
112,通過率,自然,34,0.42
112,通過率,國文,35,0.85
112,通過率,英語,35,0.56
112,通過率,社會,35,0.62
112,通過率,自然,35,0.36
112,通過率,國文,36,0.57
112,通過率,英語,36,0.67
112,通過率,社會,36,0.54
112,通過率,自然,36,0.34
112,通過率,國文,37,0.64
112,通過率,英語,37,0.59
112,通過率,社會,37,0.48
112,通過率,自然,37,0.37
112,通過率,國文,38,0.75
112,通過率,英語,38,0.44
112,通過率,社會,38,0.51
112,通過率,自然,38,0.29
112,通過率,國文,39,0.55
112,通過率,英語,39,0.54
112,通過率,社會,39,0.46
112,通過率,自然,39,0.47
112,通過率,國文,40,0.49
112,通過率,英語,40,0.52
112,通過率,社會,40,0.64
112,通過率,自然,40,0.52
112,通過率,國文,41,0.48
112,通過率,英語,41,0.6
112,通過率,社會,41,0.26
112,通過率,自然,41,0.52
112,通過率,國文,42,0.41
112,通過率,英語,42,0.4
112,通過率,社會,42,0.64
112,通過率,自然,42,0.38
112,通過率,英語,43,0.4
112,通過率,社會,43,0.72
112,通過率,自然,43,0.57
112,通過率,社會,44,0.57
112,通過率,自然,44,0.51
112,通過率,社會,45,0.49
112,通過率,自然,45,0.57
112,通過率,社會,46,0.6
112,通過率,自然,46,0.46
112,通過率,社會,47,0.83
112,通過率,自然,47,0.64
112,通過率,社會,48,0.74
112,通過率,自然,48,0.74
112,通過率,社會,49,0.58
112,通過率,自然,49,0.64
112,通過率,社會,50,0.64
112,通過率,自然,50,0.75
112,通過率,社會,51,0.67
112,通過率,社會,52,0.6
112,通過率,社會,53,0.78
112,通過率,社會,54,0.6
112,鑑別度,國文,1,0.31
112,鑑別度,英語聽力,1,0.49
112,鑑別度,數學,1,0.4
112,鑑別度,社會,1,0.39
112,鑑別度,自然,1,0.42
112,鑑別度,國文,2,0.39
112,鑑別度,英語聽力,2,0.61
112,鑑別度,英語,2,0.67
112,鑑別度,數學,2,0.44
112,鑑別度,社會,2,0.49
112,鑑別度,自然,2,0.44
112,鑑別度,國文,3,0.47
112,鑑別度,英語聽力,3,0.44
112,鑑別度,英語,3,0.68
112,鑑別度,數學,3,0.39
112,鑑別度,社會,3,0.5
112,鑑別度,自然,3,0.33
112,鑑別度,國文,4,0.51
112,鑑別度,英語聽力,4,0.65
112,鑑別度,英語,4,0.57
112,鑑別度,數學,4,0.57
112,鑑別度,社會,4,0.4
112,鑑別度,自然,4,0.35
112,鑑別度,國文,5,0.43
112,鑑別度,英語聽力,5,0.5
112,鑑別度,英語,5,0.63
112,鑑別度,數學,5,0.57
112,鑑別度,社會,5,0.43
112,鑑別度,自然,5,0.46
112,鑑別度,國文,6,0.19
112,鑑別度,英語聽力,6,0.66
112,鑑別度,英語,6,0.57
112,鑑別度,數學,6,0.57
112,鑑別度,社會,6,0.53
112,鑑別度,自然,6,0.41
112,鑑別度,國文,7,0.52
112,鑑別度,英語聽力,7,0.55
112,鑑別度,英語,7,0.68
112,鑑別度,數學,7,0.61
112,鑑別度,社會,7,0.45
112,鑑別度,自然,7,0.52
112,鑑別度,國文,8,0.42
112,鑑別度,英語聽力,8,0.54
112,鑑別度,英語,8,0.65
112,鑑別度,數學,8,0.56
112,鑑別度,社會,8,0.5
112,鑑別度,自然,8,0.51
112,鑑別度,國文,9,0.5
112,鑑別度,英語聽力,9,0.54
112,鑑別度,英語,9,0.71
112,鑑別度,數學,9,0.45
112,鑑別度,社會,9,0.36
112,鑑別度,自然,9,0.54
112,鑑別度,國文,10,0.53
112,鑑別度,英語聽力,10,0.63
112,鑑別度,英語,10,0.67
112,鑑別度,數學,10,0.59
112,鑑別度,社會,10,0.35
112,鑑別度,自然,10,0.54
112,鑑別度,國文,11,0.34
112,鑑別度,英語聽力,11,0.46
112,鑑別度,英語,11,0.7
112,鑑別度,數學,11,0.44
112,鑑別度,社會,11,0.37
112,鑑別度,自然,11,0.48
112,鑑別度,國文,12,0.55
112,鑑別度,英語聽力,12,0.61
112,鑑別度,英語,12,0.61
112,鑑別度,數學,12,0.66
112,鑑別度,社會,12,0.28
112,鑑別度,自然,12,0.49
112,鑑別度,國文,13,0.47
112,鑑別度,英語聽力,13,0.63
112,鑑別度,英語,13,0.56
112,鑑別度,數學,13,0.48
112,鑑別度,社會,13,0.5
112,鑑別度,自然,13,0.44
112,鑑別度,國文,14,0.44
112,鑑別度,英語聽力,14,0.67
112,鑑別度,英語,14,0.48
112,鑑別度,數學,14,0.56
112,鑑別度,社會,14,0.4
112,鑑別度,自然,14,0.5
112,鑑別度,國文,15,0.48
112,鑑別度,英語聽力,15,0.58
112,鑑別度,英語,15,0.7
112,鑑別度,數學,15,0.59
112,鑑別度,社會,15,0.36
112,鑑別度,自然,15,0.56
112,鑑別度,國文,16,0.59
112,鑑別度,英語聽力,16,0.61
112,鑑別度,英語,16,0.61
112,鑑別度,數學,16,0.47
112,鑑別度,社會,16,0.43
112,鑑別度,自然,16,0.54
112,鑑別度,國文,17,0.41
112,鑑別度,英語聽力,17,0.65
112,鑑別度,英語,17,0.68
112,鑑別度,數學,17,0.6
112,鑑別度,社會,17,0.57
112,鑑別度,自然,17,0.59
112,鑑別度,國文,18,0.52
112,鑑別度,英語聽力,18,0.56
112,鑑別度,英語,18,0.56
112,鑑別度,數學,18,0.56
112,鑑別度,社會,18,0.38
112,鑑別度,自然,18,0.54
112,鑑別度,國文,19,0.53
112,鑑別度,英語聽力,19,0.6
112,鑑別度,英語,19,0.65
112,鑑別度,數學,19,0.49
112,鑑別度,社會,19,0.52
112,鑑別度,自然,19,0.44
112,鑑別度,國文,20,0.29
112,鑑別度,英語聽力,20,0.53
112,鑑別度,英語,20,0.28
112,鑑別度,數學,20,0.52
112,鑑別度,社會,20,0.61
112,鑑別度,自然,20,0.57
112,鑑別度,國文,21,0.5
112,鑑別度,英語聽力,21,0.52
112,鑑別度,英語,21,0.43
112,鑑別度,數學,21,0.53
112,鑑別度,社會,21,0.55
112,鑑別度,自然,21,0.53
112,鑑別度,國文,22,0.44
112,鑑別度,英語,22,0.5
112,鑑別度,數學,22,0.32
112,鑑別度,社會,22,0.5
112,鑑別度,自然,22,0.51
112,鑑別度,國文,23,0.44
112,鑑別度,英語,23,0.5
112,鑑別度,數學,23,0.06
112,鑑別度,社會,23,0.46
112,鑑別度,自然,23,0.55
112,鑑別度,國文,24,0.34
112,鑑別度,英語,24,0.59
112,鑑別度,數學,24,0.46
112,鑑別度,社會,24,0.55
112,鑑別度,自然,24,0.56
112,鑑別度,國文,25,0.33
112,鑑別度,英語,25,0.61
112,鑑別度,數學,25,0.58
112,鑑別度,社會,25,0.41
112,鑑別度,自然,25,0.3
112,鑑別度,國文,26,0.52
112,鑑別度,英語,26,0.71
112,鑑別度,社會,26,0.27
112,鑑別度,自然,26,0.45
112,鑑別度,國文,27,0.41
112,鑑別度,英語,27,0.64
112,鑑別度,社會,27,0.51
112,鑑別度,自然,27,0.45
112,鑑別度,國文,28,0.46
112,鑑別度,英語,28,0.61
112,鑑別度,社會,28,0.48
112,鑑別度,自然,28,0.62
112,鑑別度,國文,29,0.53
112,鑑別度,英語,29,0.68
112,鑑別度,社會,29,0.45
112,鑑別度,自然,29,0.6
112,鑑別度,國文,30,0.57
112,鑑別度,英語,30,0.61
112,鑑別度,社會,30,0.34
112,鑑別度,自然,30,0.5
112,鑑別度,國文,31,0.51
112,鑑別度,英語,31,0.67
112,鑑別度,社會,31,0.47
112,鑑別度,自然,31,0.38
112,鑑別度,國文,32,0.57
112,鑑別度,英語,32,0.63
112,鑑別度,社會,32,0.63
112,鑑別度,自然,32,0.39
112,鑑別度,國文,33,0.55
112,鑑別度,英語,33,0.64
112,鑑別度,社會,33,0.43
112,鑑別度,自然,33,0.38
112,鑑別度,國文,34,0.58
112,鑑別度,英語,34,0.63
112,鑑別度,社會,34,0.49
112,鑑別度,自然,34,0.52
112,鑑別度,國文,35,0.54
112,鑑別度,英語,35,0.59
112,鑑別度,社會,35,0.52
112,鑑別度,自然,35,0.49
112,鑑別度,國文,36,0.48
112,鑑別度,英語,36,0.69
112,鑑別度,社會,36,0.32
112,鑑別度,自然,36,0.52
112,鑑別度,國文,37,0.6
112,鑑別度,英語,37,0.62
112,鑑別度,社會,37,0.44
112,鑑別度,自然,37,0.58
112,鑑別度,國文,38,0.52
112,鑑別度,英語,38,0.43
112,鑑別度,社會,38,0.52
112,鑑別度,自然,38,0.44
112,鑑別度,國文,39,0.51
112,鑑別度,英語,39,0.56
112,鑑別度,社會,39,0.59
112,鑑別度,自然,39,0.58
112,鑑別度,國文,40,0.46
112,鑑別度,英語,40,0.54
112,鑑別度,社會,40,0.54
112,鑑別度,自然,40,0.58
112,鑑別度,國文,41,0.42
112,鑑別度,英語,41,0.66
112,鑑別度,社會,41,0.17
112,鑑別度,自然,41,0.57
112,鑑別度,國文,42,0.43
112,鑑別度,英語,42,0.48
112,鑑別度,社會,42,0.55
112,鑑別度,自然,42,0.41
112,鑑別度,英語,43,0.55
112,鑑別度,社會,43,0.56
112,鑑別度,自然,43,0.55
112,鑑別度,社會,44,0.48
112,鑑別度,自然,44,0.6
112,鑑別度,社會,45,0.51
112,鑑別度,自然,45,0.41
112,鑑別度,社會,46,0.53
112,鑑別度,自然,46,0.41
112,鑑別度,社會,47,0.47
112,鑑別度,自然,47,0.48
112,鑑別度,社會,48,0.53
112,鑑別度,自然,48,0.55
112,鑑別度,社會,49,0.44
112,鑑別度,自然,49,0.54
112,鑑別度,社會,50,0.59
112,鑑別度,自然,50,0.49
112,鑑別度,社會,51,0.48
112,鑑別度,社會,52,0.36
112,鑑別度,社會,53,0.51
112,鑑別度,社會,54,0.53
113,通過率,國文,1,0.95
113,通過率,英語聽力,1,0.91
113,通過率,英語,1,0.75
113,通過率,數學,1,0.88
113,通過率,社會,1,0.8
113,通過率,自然,1,0.79
113,通過率,國文,2,0.78
113,通過率,英語聽力,2,0.86
113,通過率,英語,2,0.69
113,通過率,數學,2,0.9
113,通過率,社會,2,0.78
113,通過率,自然,2,0.79
113,通過率,國文,3,0.82
113,通過率,英語聽力,3,0.69
113,通過率,英語,3,0.72
113,通過率,數學,3,0.77
113,通過率,社會,3,0.81
113,通過率,自然,3,0.8
113,通過率,國文,4,0.74
113,通過率,英語聽力,4,0.86
113,通過率,英語,4,0.76
113,通過率,數學,4,0.84
113,通過率,社會,4,0.71
113,通過率,自然,4,0.71
113,通過率,國文,5,0.93
113,通過率,英語聽力,5,0.85
113,通過率,英語,5,0.78
113,通過率,數學,5,0.82
113,通過率,社會,5,0.81
113,通過率,自然,5,0.81
113,通過率,國文,6,0.66
113,通過率,英語聽力,6,0.74
113,通過率,英語,6,0.7
113,通過率,數學,6,0.74
113,通過率,社會,6,0.77
113,通過率,自然,6,0.8
113,通過率,國文,7,0.73
113,通過率,英語聽力,7,0.79
113,通過率,英語,7,0.62
113,通過率,數學,7,0.71
113,通過率,社會,7,0.8
113,通過率,自然,7,0.74
113,通過率,國文,8,0.61
113,通過率,英語聽力,8,0.78
113,通過率,英語,8,0.66
113,通過率,數學,8,0.68
113,通過率,社會,8,0.81
113,通過率,自然,8,0.77
113,通過率,國文,9,0.73
113,通過率,英語聽力,9,0.71
113,通過率,英語,9,0.72
113,通過率,數學,9,0.78
113,通過率,社會,9,0.66
113,通過率,自然,9,0.74
113,通過率,國文,10,0.84
113,通過率,英語聽力,10,0.68
113,通過率,英語,10,0.72
113,通過率,數學,10,0.65
113,通過率,社會,10,0.93
113,通過率,自然,10,0.74
113,通過率,國文,11,0.81
113,通過率,英語聽力,11,0.63
113,通過率,英語,11,0.62
113,通過率,數學,11,0.62
113,通過率,社會,11,0.85
113,通過率,自然,11,0.63
113,通過率,國文,12,0.66
113,通過率,英語聽力,12,0.72
113,通過率,英語,12,0.59
113,通過率,數學,12,0.7
113,通過率,社會,12,0.75
113,通過率,自然,12,0.65
113,通過率,國文,13,0.59
113,通過率,英語聽力,13,0.78
113,通過率,英語,13,0.57
113,通過率,數學,13,0.66
113,通過率,社會,13,0.78
113,通過率,自然,13,0.65
113,通過率,國文,14,0.74
113,通過率,英語聽力,14,0.8
113,通過率,英語,14,0.71
113,通過率,數學,14,0.55
113,通過率,社會,14,0.74
113,通過率,自然,14,0.72
113,通過率,國文,15,0.83
113,通過率,英語聽力,15,0.63
113,通過率,英語,15,0.67
113,通過率,數學,15,0.55
113,通過率,社會,15,0.74
113,通過率,自然,15,0.61
113,通過率,國文,16,0.69
113,通過率,英語聽力,16,0.64
113,通過率,英語,16,0.7
113,通過率,數學,16,0.52
113,通過率,社會,16,0.74
113,通過率,自然,16,0.5
113,通過率,國文,17,0.56
113,通過率,英語聽力,17,0.66
113,通過率,英語,17,0.44
113,通過率,數學,17,0.5
113,通過率,社會,17,0.66
113,通過率,自然,17,0.7
113,通過率,國文,18,0.56
113,通過率,英語聽力,18,0.8
113,通過率,英語,18,0.63
113,通過率,數學,18,0.43
113,通過率,社會,18,0.67
113,通過率,自然,18,0.54
113,通過率,國文,19,0.47
113,通過率,英語聽力,19,0.55
113,通過率,英語,19,0.44
113,通過率,數學,19,0.52
113,通過率,社會,19,0.74
113,通過率,自然,19,0.57
113,通過率,國文,20,0.61
113,通過率,英語聽力,20,0.58
113,通過率,英語,20,0.34
113,通過率,數學,20,0.54
113,通過率,社會,20,0.74
113,通過率,自然,20,0.57
113,通過率,國文,21,0.57
113,通過率,英語聽力,21,0.52
113,通過率,英語,21,0.51
113,通過率,數學,21,0.38
113,通過率,社會,21,0.82
113,通過率,自然,21,0.77
113,通過率,國文,22,0.62
113,通過率,英語,22,0.74
113,通過率,數學,22,0.34
113,通過率,社會,22,0.56
113,通過率,自然,22,0.57
113,通過率,國文,23,0.67
113,通過率,英語,23,0.71
113,通過率,數學,23,0.3
113,通過率,社會,23,0.86
113,通過率,自然,23,0.59
113,通過率,國文,24,0.38
113,通過率,英語,24,0.7
113,通過率,數學,24,0.35
113,通過率,社會,24,0.87
113,通過率,自然,24,0.62
113,通過率,國文,25,0.8
113,通過率,英語,25,0.7
113,通過率,數學,25,0.33
113,通過率,社會,25,0.41
113,通過率,自然,25,0.54
113,通過率,國文,26,0.88
113,通過率,英語,26,0.63
113,通過率,社會,26,0.54
113,通過率,自然,26,0.35
113,通過率,國文,27,0.81
113,通過率,英語,27,0.58
113,通過率,社會,27,0.66
113,通過率,自然,27,0.45
113,通過率,國文,28,0.78
113,通過率,英語,28,0.64
113,通過率,社會,28,0.48
113,通過率,自然,28,0.55
113,通過率,國文,29,0.84
113,通過率,英語,29,0.64
113,通過率,社會,29,0.49
113,通過率,自然,29,0.63
113,通過率,國文,30,0.78
113,通過率,英語,30,0.5
113,通過率,社會,30,0.53
113,通過率,自然,30,0.48
113,通過率,國文,31,0.63
113,通過率,英語,31,0.48
113,通過率,社會,31,0.66
113,通過率,自然,31,0.31
113,通過率,國文,32,0.8
113,通過率,英語,32,0.52
113,通過率,社會,32,0.51
113,通過率,自然,32,0.39
113,通過率,國文,33,0.84
113,通過率,英語,33,0.66
113,通過率,社會,33,0.48
113,通過率,自然,33,0.5
113,通過率,國文,34,0.79
113,通過率,英語,34,0.45
113,通過率,社會,34,0.69
113,通過率,自然,34,0.43
113,通過率,國文,35,0.85
113,通過率,英語,35,0.49
113,通過率,社會,35,0.72
113,通過率,自然,35,0.36
113,通過率,國文,36,0.59
113,通過率,英語,36,0.5
113,通過率,社會,36,0.32
113,通過率,自然,36,0.33
113,通過率,國文,37,0.85
113,通過率,英語,37,0.52
113,通過率,社會,37,0.56
113,通過率,自然,37,0.37
113,通過率,國文,38,0.64
113,通過率,英語,38,0.5
113,通過率,社會,38,0.53
113,通過率,自然,38,0.25
113,通過率,國文,39,0.38
113,通過率,英語,39,0.53
113,通過率,社會,39,0.51
113,通過率,自然,39,0.65
113,通過率,國文,40,0.42
113,通過率,英語,40,0.49
113,通過率,社會,40,0.42
113,通過率,自然,40,0.51
113,通過率,國文,41,0.46
113,通過率,英語,41,0.63
113,通過率,社會,41,0.64
113,通過率,自然,41,0.38
113,通過率,國文,42,0.61
113,通過率,英語,42,0.42
113,通過率,社會,42,0.51
113,通過率,自然,42,0.86
113,通過率,英語,43,0.6
113,通過率,社會,43,0.59
113,通過率,自然,43,0.84
113,通過率,社會,44,0.59
113,通過率,自然,44,0.63
113,通過率,社會,45,0.84
113,通過率,自然,45,0.82
113,通過率,社會,46,0.76
113,通過率,自然,46,0.61
113,通過率,社會,47,0.7
113,通過率,自然,47,0.66
113,通過率,社會,48,0.73
113,通過率,自然,48,0.74
113,通過率,社會,49,0.71
113,通過率,自然,49,0.6
113,通過率,社會,50,0.64
113,通過率,自然,50,0.35
113,通過率,社會,51,0.84
113,通過率,社會,52,0.61
113,通過率,社會,53,0.66
113,通過率,社會,54,0.59
113,鑑別度,國文,1,0.33
113,鑑別度,英語聽力,1,0.45
113,鑑別度,英語,1,0.59
113,鑑別度,數學,1,0.49
113,鑑別度,社會,1,0.44
113,鑑別度,自然,1,0.56
113,鑑別度,國文,2,0.43
113,鑑別度,英語聽力,2,0.53
113,鑑別度,英語,2,0.62
113,鑑別度,數學,2,0.42
113,鑑別度,社會,2,0.5
113,鑑別度,自然,2,0.51
113,鑑別度,國文,3,0.52
113,鑑別度,英語聽力,3,0.53
113,鑑別度,英語,3,0.66
113,鑑別度,數學,3,0.58
113,鑑別度,社會,3,0.48
113,鑑別度,自然,3,0.45
113,鑑別度,國文,4,0.51
113,鑑別度,英語聽力,4,0.54
113,鑑別度,英語,4,0.64
113,鑑別度,數學,4,0.45
113,鑑別度,社會,4,0.55
113,鑑別度,自然,4,0.57
113,鑑別度,國文,5,0.44
113,鑑別度,英語聽力,5,0.58
113,鑑別度,英語,5,0.64
113,鑑別度,數學,5,0.47
113,鑑別度,社會,5,0.61
113,鑑別度,自然,5,0.5
113,鑑別度,國文,6,0.39
113,鑑別度,英語聽力,6,0.68
113,鑑別度,英語,6,0.66
113,鑑別度,數學,6,0.58
113,鑑別度,社會,6,0.6
113,鑑別度,自然,6,0.31
113,鑑別度,國文,7,0.46
113,鑑別度,英語聽力,7,0.58
113,鑑別度,英語,7,0.62
113,鑑別度,數學,7,0.51
113,鑑別度,社會,7,0.51
113,鑑別度,自然,7,0.47
113,鑑別度,國文,8,0.45
113,鑑別度,英語聽力,8,0.63
113,鑑別度,英語,8,0.69
113,鑑別度,數學,8,0.6
113,鑑別度,社會,8,0.51
113,鑑別度,自然,8,0.49
113,鑑別度,國文,9,0.62
113,鑑別度,英語聽力,9,0.66
113,鑑別度,英語,9,0.62
113,鑑別度,數學,9,0.43
113,鑑別度,社會,9,0.49
113,鑑別度,自然,9,0.57
113,鑑別度,國文,10,0.43
113,鑑別度,英語聽力,10,0.57
113,鑑別度,英語,10,0.69
113,鑑別度,數學,10,0.64
113,鑑別度,社會,10,0.4
113,鑑別度,自然,10,0.56
113,鑑別度,國文,11,0.5
113,鑑別度,英語聽力,11,0.56
113,鑑別度,英語,11,0.6
113,鑑別度,數學,11,0.57
113,鑑別度,社會,11,0.5
113,鑑別度,自然,11,0.56
113,鑑別度,國文,12,0.43
113,鑑別度,英語聽力,12,0.73
113,鑑別度,英語,12,0.66
113,鑑別度,數學,12,0.58
113,鑑別度,社會,12,0.48
113,鑑別度,自然,12,0.58
113,鑑別度,國文,13,0.4
113,鑑別度,英語聽力,13,0.58
113,鑑別度,英語,13,0.58
113,鑑別度,數學,13,0.62
113,鑑別度,社會,13,0.36
113,鑑別度,自然,13,0.57
113,鑑別度,國文,14,0.46
113,鑑別度,英語聽力,14,0.53
113,鑑別度,英語,14,0.49
113,鑑別度,數學,14,0.51
113,鑑別度,社會,14,0.58
113,鑑別度,自然,14,0.57
113,鑑別度,國文,15,0.47
113,鑑別度,英語聽力,15,0.68
113,鑑別度,英語,15,0.6
113,鑑別度,數學,15,0.54
113,鑑別度,社會,15,0.46
113,鑑別度,自然,15,0.66
113,鑑別度,國文,16,0.48
113,鑑別度,英語聽力,16,0.68
113,鑑別度,英語,16,0.67
113,鑑別度,數學,16,0.6
113,鑑別度,社會,16,0.49
113,鑑別度,自然,16,0.3
113,鑑別度,國文,17,0.38
113,鑑別度,英語聽力,17,0.63
113,鑑別度,英語,17,0.43
113,鑑別度,數學,17,0.55
113,鑑別度,社會,17,0.5
113,鑑別度,自然,17,0.57
113,鑑別度,國文,18,0.57
113,鑑別度,英語聽力,18,0.58
113,鑑別度,英語,18,0.64
113,鑑別度,數學,18,0.42
113,鑑別度,社會,18,0.5
113,鑑別度,自然,18,0.55
113,鑑別度,國文,19,0.53
113,鑑別度,英語聽力,19,0.43
113,鑑別度,英語,19,0.53
113,鑑別度,數學,19,0.58
113,鑑別度,社會,19,0.48
113,鑑別度,自然,19,0.53
113,鑑別度,國文,20,0.56
113,鑑別度,英語聽力,20,0.53
113,鑑別度,英語,20,0.19
113,鑑別度,數學,20,0.57
113,鑑別度,社會,20,0.46
113,鑑別度,自然,20,0.5
113,鑑別度,國文,21,0.51
113,鑑別度,英語聽力,21,0.49
113,鑑別度,英語,21,0.51
113,鑑別度,數學,21,0.56
113,鑑別度,社會,21,0.48
113,鑑別度,自然,21,0.58
113,鑑別度,國文,22,0.53
113,鑑別度,英語,22,0.65
113,鑑別度,數學,22,0.44
113,鑑別度,社會,22,0.53
113,鑑別度,自然,22,0.52
113,鑑別度,國文,23,0.59
113,鑑別度,英語,23,0.67
113,鑑別度,數學,23,0.29
113,鑑別度,社會,23,0.47
113,鑑別度,自然,23,0.59
113,鑑別度,國文,24,0.32
113,鑑別度,英語,24,0.6
113,鑑別度,數學,24,0.36
113,鑑別度,社會,24,0.45
113,鑑別度,自然,24,0.5
113,鑑別度,國文,25,0.48
113,鑑別度,英語,25,0.65
113,鑑別度,數學,25,0.24
113,鑑別度,社會,25,0.39
113,鑑別度,自然,25,0.52
113,鑑別度,國文,26,0.55
113,鑑別度,英語,26,0.63
113,鑑別度,社會,26,0.43
113,鑑別度,自然,26,0.49
113,鑑別度,國文,27,0.59
113,鑑別度,英語,27,0.64
113,鑑別度,社會,27,0.61
113,鑑別度,自然,27,0.55
113,鑑別度,國文,28,0.58
113,鑑別度,英語,28,0.69
113,鑑別度,社會,28,0.34
113,鑑別度,自然,28,0.55
113,鑑別度,國文,29,0.59
