年度,科目,題號,題目
104,國文,37,37.本文的主要內容，最可能是下列何者？(A)陳述電子資訊逐步成為現代人生活中重要工具的過程(B)描寫資訊網路工具已徹底取代了紙筆書寫的社會現象(C)敘說作者個人對於資訊網路由抗拒到妥協的心情轉折(D)強調電子資訊發展方向當以融入傳統書法為首要目標
104,國文,38,38.下列詩句的說明，何者正確？(A)「再一次讓身體墜落不成」係描寫表演者排練時的失誤(B)「他有缺陷」指的是表演者缺乏自信心，導致臨場羞怯(C)「深思熟慮的靈感」指靈感非出偶然，乃得自縝密思考(D)「讓自己穿梭於先前的形體」說明表演者幻術施展之奇
104,國文,39,39.關於本詩的寫作手法，下列敘述何者正確？(A)第一節透過靜態的描寫，烘托表演場內的凝重氣氛(B)第二節重複「獨自一人」，強調無法一人完成表演(C)第三節藉各種具體與抽象的描寫，說明表演的難度(D)第四節以委婉的筆法，寫出表演最終以失敗收場
104,國文,40,40.根據本文，關於雪山山脈的敘述，下列何者錯誤？(A)是淡水河、大安溪、大甲溪三者的共同發源地(B)主脊岩峰嶙峋，是登山者心中難以征服的殿堂(C)山脈主脊被稱作「聖稜線」，源於沼井鐵太郎(D)整個淡水河流域的水源，都涵蓋在雪山山脈裡
104,國文,41,41.根據本文，下列關於淡水河水域的敘述，何者正確？(A)皆是由東向西的格子狀水系(B)提供石門水庫和翡翠水庫水資源(C)與恆河、尼羅河並列為三大聖河(D)人們聚集在水質較好的河段，形成市鎮
104,國文,42,42.關於本文的寫作手法，下列敘述何者正確？(A)引用大批史料，證明水資源的重要(B)聚焦於淡水河流域今昔的風物變化(C)藉由國外河流凸顯淡水河流域之大(D)由山而水，寫出自然與生命的關聯
104,國文,43,43.關於本文所述的「知縣」一職，下列說明何者正確？(A)每年享有一個半月的年假(B)無故曠職須扣薪，退休無給俸(C)每日實際工作十小時，另有兩小時午休(D)除了司法審判外，兼負彈劾百官的職責
104,國文,44,44.根據本文，下列何人最符合遴選資格？(A)(B)(C)(D)
104,國文,45,45.根據本文，景公的作為最適合以下列何者來形容？(A)短視近利，弄巧成拙1.路寢：天子或諸侯的居室(B)徵收重稅，與民爭利2.重其賃：提高工資(C)誤信讒言，疏遠賢臣3.遠其兆：延後完工期限(D)圖己之樂，不恤民生
104,國文,46,46.本文呈現了晏子在政治上的哪一種智慧？(A)無為而治，讓人民得以休養生息(B)知所變通，化解上下利益的衝突(C)能集眾智，不獨斷而行，致使政通人和(D)利用緩兵之計，導引君王注意民生需求
104,國文,47,47.下列文句「」中語詞的意義，何者說明正確？(A)吾自「結髮」，志立功名：襁褓(B)「府君」不出，衆亦俱死耳：荀羨(C)今當爲「卿曹」決鬥：你們(D)堅立馬橋上，「左右」射之：隨從
104,國文,48,48.根據本文，關於賈堅與荀羨攻守的過程，下列敘述何者正確？(A)賈堅堅持為城守節，力勸眾將死守勿降(B)荀羨設法破壞橋梁，致使賈堅人馬墜落被擒(C)賈堅佯攻使諸將趁隙出城求援，自己固守城池以待(D)荀羨引兵攻擊，山茌將士畏怯，唯賈堅孤身出城迎戰
104,英語,1,1.  Look at the picture.  The girl drew two            on the wall.(A) circles(B) lines(C) points(D) squares   
104,英語,2,"2.  This dress is pretty,            it does not look good on me.(A) so  (B) but  (C) or  (D) if"
104,英語,3,"3.  Getting up early on a cold morning is not easy,           ?(A) are you  (B) do you  (C) does it  (D) is it"
104,英語,4,4.	 Tonight	I’ll	stay	at	the	office	until	I	           the work.(A)	finish	 (B)	am	finishing	 (C)	finished	 (D)	will	finish
104,英語,5,5.  Charles            a day in the department store looking for a hat for his wife.(A) cost  (B) spent  (C) saw  (D) made
104,英語,6,6.  Tom            ten pounds over the past two months.  He looks much thinner now.(A) loses  (B) has lost  (C) will lose  (D) was losing
104,英語,7,7.  I don’t like any one of these three watches.  Can you show me            one?(A) the others  (B) other  (C) either  (D) another 
104,英語,8,8.  The waiters are asked to be           ; they should always smile and remember to say “Welcome” and “Please.”(A) honest  (B) polite  (C) special  (D) strong
104,英語,9,"9.  On Children’s Day, Ms. Lee, a famous storybook writer,            to Molly’s Bookstore to talk about her new book.  My two little kids just can’t wait to see her.(A) came  (B) was coming  (C) has come  (D) is going to come"
104,英語,10,"10.  No one thought James would appear at Katie’s party.  So when he           , everyone was surprised and could not believe their eyes.  (A) would  (B) was  (C) had  (D) did"
104,英語,11,"11.  B&J Café            known as the tallest building in town.  However, O&G Restaurant became the tallest building in 2010.(A) has been  (B) had been  (C) is   (D) would be"
104,英語,12,12.  Actor David Piper became tired of talking about the movie       after he was interviewed about it many times.(A) he is famous     (B) that he is famous(C) that is famous for  (D) he is famous for
104,英語,13,13.  (A) got better	 	 	 	 								(B) been warm(C) changed a lot    (D) become wet and cold
104,英語,14,14.  (A) made two plans for you           	(B) worried about your trip to here (C) decided to take you to a nice place  (D) prepared everything you’ve asked for 
104,英語,15,15.  (A) we’ll agree with each other         	(B) don’t worry if it rains (C) we all love animals very much  (D) don’t forget to check the weather 
104,英語,16,16.  (A) we cannot really call it a neighbor  (B) we do not know anything about it yet  (C) we might not be able to stay there for long  (D) we are not sure how long it takes to get there
104,英語,17,"17.  (A) What’s more, it is not water that makes HD189773b look blue  (B) With its blue color, HD189773b could be a second Earth for us  (C) Except for its blue color, HD189773b is nothing like our home planet  (D) Because of its blue color, people guess there might be life on HD189773b"
104,英語,18,18.  (A) gives us hope  (B) took hard work                       (C) has changed our life        (D) helps us know more about Earth   
104,英語,19,"19.  On the order list, Ginny ordered a sandwich with cheese, a fruit milk shake, and a fruit drink without ice.  How much did she have to pay for her food?(A) $300.   (B) $320.   (C) $385.   (D) $410."
104,英語,20,20.  Ginny wants to go to Howell’s Bowl again during Joy Time.  When will she possibly go there?(A) 11:00 a.m. on Wednesday.(B) 2:30 p.m. on Monday.(C) 8:00 p.m. on Friday.(D) 10:00 p.m. on Thursday.
104,英語,21,21.  What question did the teacher most likely ask in class? likely 可能(A) “What do you want to do in the future?”(B) “What’s your plan for the coming vacation?”(C) “What do you like to talk about with your friends?”(D) “What’s your favorite thing to do with your family?”
104,英語,22,22.  What do we know from the reading?(A) Lily is good at making clothes.(B) One of Bill’s parents is an animal doctor.(C) Ryan enjoys meeting people on the Internet.(D) Anna was once very sick and stayed in the hospital for a long time.
104,英語,23,23.  What does them mean?(A) Pets.(B) Books.(C) Stories.(D) Parents.
104,英語,24,24.  What does it mean when someone is lousy at something?(A) They are famous for it.(B) They cannot do it well.(C) They think it is important.(D) They are not interested in it.
104,英語,25,25.  What can we learn from the preface?(A) How Foster started his own restaurant.(B) When Foster’s father married Foster’s mother.(C) What Foster’s mother taught him about cooking.(D) How Foster learned the art of cooking from his father.
104,英語,26,26.  Below are the cards which four kids have taken since they began the game.  Who has won the game? (A) Anna:  	→	 	→	 .  (B) Kate:  	→	 	→	 .(C) Billy:   	→	 	→	 .  (D) Ivan:   	→	 	→	 . 
104,英語,27,27.  What can we learn about the game?(A) One can never begin his turn from Lion King.    (B)	The	cards	can	be	used	to	decide	who	goes	first.(C)	One	can	never	get	to	Light	Church	at	the	first	turn.(D) The cards can be used to decide where to start the game. 
104,英語,28,28.  What does The idea mean in the reading? (A) Water is important in one’s everyday life.(B) Water is not just about one’s everyday needs.      (C) It is nice to have a cool bath on a hot summer day.(D) We should not take a bath when there is little water.
104,英語,29,29.  What is the reading mostly about? (A) Why it is important to save water.(B) How water may give a country power. (C) How water may play a part in one’s future.(D) Why it is hard to get water in poor countries.
104,英語,30,30.  What do we know from the reading? (A) Children in poor countries die from drinking dirty water every day.(B) Girls who spend little time at school have a harder life when they grow up.(C) Girls in countries like Tanzania are often paid less for the same job than the boys are.(D) Children from poor families are often kept from school to take care of younger children.
104,英語,31,"31.  Families in the countries of Benin, Ghana, Guinea and Madagascar   deal with the job of water-collecting the same way Tanzanian families chart 圖表do.  From the reading, which chart best shows the fact?(A)       (B)How long people spend getting water  How long people spend getting water (minutes a day) (minutes a day)50 50girls girls40 40s boys s boyse eut30 ut30n nmi20 mi2010 100 0(cid:37)(cid:72)(cid:81)(cid:76)(cid:81) (cid:42)(cid:75)(cid:68)(cid:81)(cid:68) (cid:42)(cid:88)(cid:76)(cid:81)(cid:72)(cid:68) (cid:48)(cid:68)(cid:71)(cid:68)(cid:74)(cid:68)(cid:86)(cid:70)(cid:68)(cid:85) (cid:37)(cid:72)(cid:81)(cid:76)(cid:81) (cid:42)(cid:75)(cid:68)(cid:81)(cid:68) (cid:42)(cid:88)(cid:76)(cid:81)(cid:72)(cid:68) (cid:48)(cid:68)(cid:71)(cid:68)(cid:74)(cid:68)(cid:86)(cid:70)(cid:68)(cid:85)country country(C)       (D)"
104,英語,32,32.  What is Garden House?(A) A bakery.(B) A gift shop.(C)	A	flower	shop.(D) An apartment.
104,英語,33,33.  What can we learn about Keith? (A) He forgot to meet Amber and Matt for lunch.(B) He did not know how to get to Amber’s apartment.(C) He called Amber without knowing her phone was not working.(D) He did not know Amber left him a voice message this morning.
104,英語,34,34.  Which sentence was most likely part of the message that Amber left Keith this morning?(A) “Matt and I will go to the party after lunch.”(B) “Don’t forget to buy a birthday gift for Liz.”  likely 可能(C)	“You	can	go	straight	to	the	party	from	your	office.”(D) “I need to talk to you about the party this weekend.”
104,英語,35,"35.  What lesson can we learn from Froggie’s story? (A) Life is too short; one should live it to the fullest.(B) Those who use their time well will win in the end.(C) People are blind to problems that slowly get worse over time.(D)	It	is	difficult	to	give	up	old	habits,	but	easy	to	pick	up	new	ones.	"
104,英語,36,36.  What do we know about Froggie?  (A) He learned to share what he liked with others.(B) He thought what he had hoped for became real.(C) He once almost lost a dear friend to a water snake.(D) He wanted to go back to the same pot for a hot bath.
104,英語,37,37.  What does it mean when someone is in a calamitous state?  (A) They have serious trouble.  (B) They try to change themselves.  (C) They are looking for a second chance.  (D) They lost interest in the outside world.
104,英語,38,"38.  What can we learn about the church-goers from the report?    (A) Between 1980 and 2005, few church-goers were younger than 50.  (B) In 2010, only 6% of church-goers were younger than 50 years old.  (C) In 2020, the percentage (%) of church-goers drops to lower than half that in 1980.(D) Between 1980 and 2020, the rising number of old church-goers has led to an old church."
104,英語,39,39.  What is talked about in the report? (A) Where the church’s money goes.(B) How people decide to join a church.(C) What happens to churches that are closed.(D) Why people have stopped going to church.
104,英語,40,"40.	 Below	are	four	findings	from	other	reports.		Which	does	NOT	agree	with	the	idea	of	the report? (A) “Reports show over 90% of church-goers go to church because their fathers do.  In 		the last 20 years, 49% of men under 30 have left the church.  That means there’s 		a 90% chance that their children won’t go to church.  This is hard for the church 		to take in.”(B) “Between 2003 and 2010, over 1,000 new churches were built in the country.  		This may sound like good news.  During the same years, however, more than 			2,000 were closed.”(C) “In the report, 33% of the people that were interviewed say they never go to 			church and another 33% say they used to.  Only 15% go to church at least once a  			month.”(D) “Of the 15 countries in the report, the percentage (%) of church-goers in some "
104,數學,1,1.算式(−1)×(−3)×之值為何？2431(A)411(B)1211(C)413(D)
104,數學,2,2.已知直線L的方程式為x=3，直線M的方程式為y=−2，判斷下列何者為LM直線、直線畫在坐標平面上的圖形？(A)(B)(C)(D)
104,數學,3,3.下列各選項中的盒狀圖分別呈現出某班四次小考數學成績的分布情形，哪一個盒狀圖呈現的資料其四分位距最大？(A)(B)(C)(D)
104,數學,4,4.算式(−3)4−72−之值為何？(−2)3(A)−138(B)−122(C)24(D)40
104,數學,5,5.如圖(一)，AB為圓O的直徑，BC為圓O的COBCBCD一弦，自點作的垂線，且交於點。D若AB=16，BC=12，則△OBD的面積為何？(A)67ABO(B)127(C)15(D)30
104,數學,6,6.計算多項式−2x(3x−2)2+3除以3x−2後，所得商式與餘式兩者之和為何？(A)−2x+3(B)−6x2+4x(C)−6x2+4x+3(D)−6x2−4x+3
104,數學,7,7.將圖(二)的正四角錐ABCDE沿著其中的四個邊剪開後，形成的展開圖為()圖三。判斷下列哪一個選項中的四個邊可為此四個邊？(A)AC、AD、BC、DE(B)AB、BE、DE、CD(C)AC、BC、AE、DE(D)AC、AD、AE、BC
104,數學,8,8.下列哪一個選項中的等式不成立？(A)38=34(B)(−5)6=(−5)3(C)34×510=32×55(D)(−3)4×(−5)8=(−3)2×(−5)4
104,數學,9,9.圖(四)為某餐廳的價目表，今日每份餐點價格均為價目表價格的九折。若恂恂今日在此餐廳點了橙汁雞丁飯後想再點第二份餐點，且兩份餐點的200總花費不超過元，則她的第二份餐點最多有幾種選擇？(A)5(B)7(C)9(D)11
104,數學,10,10.如圖(五)，AB切圓O於B點，AC切圓O於12CBCOODE點，分別交圓、圓於、兩點。若12∠BOD=40°，∠COE=60°，則∠A的度數為12何？(A)100(B)120()圖五(C)130(D)140
104,數學,11,11.圖(六)是P、P、......、P十個點在圓上的位置圖，1210PPPP且此十點將圓周分成十等分。今小玉連接、、12110PPPPPP、、，判斷小玉再連接下列哪一條線段9105667後，所形成的圖形不是線對稱圖形？(A)PP23(B)PP45(C)PP78圖(六)(D)PP
104,數學,12,12.怡君手上有24張卡片，其中12張卡片被畫上O記號，另外12張卡片被畫上X記號。圖(七)表示怡君從手上拿出6張卡片放在桌面的情形，且她打算從手上剩下的卡片中抽出一張卡片。若怡君手上剩下的每張卡片被抽出的機會相等，則她抽出O記號卡片的機率為何？1(A)21(B)34()(C)圖七95(D)
104,數學,13,13.已知甲、乙為兩把不同刻度的直尺，且同一把直尺上的刻度之間距離相等，0耀軒將此兩把直尺緊貼，並將兩直尺上的刻度彼此對準後，發現甲尺的3648()刻度會對準乙尺的刻度，如圖八所示。若今將甲尺向右平移且04平移過程中兩把直尺維持緊貼，使得甲尺的刻度會對準乙尺的刻度，()21如圖九所示，則此時甲尺的刻度會對準乙尺的哪一個刻度？(A)24(B)28(C)31(D)32()()
104,數學,14,14.判斷一元二次方程式x2−8x−a=0中的a為下列哪一個數時，可使得此方程式的兩根均為整數？(A)12(B)16(C)20(D)24
104,數學,15,"15.如圖(十)，坐標平面上有A(0,a)、B(−9,0)、C(10,0)三點，其中a>0。若∠BAC=95°，則ABC△的外心在第幾象限？(A)一(B)二(C)三(D)四"
104,數學,16,16.判斷下列各式的值，何者最大？(A)25×132−152(B)16×172−182(C)9×212−132(D)4×312−122
104,數學,17,17.已知A地在B地的西方，且有一以A、B兩地為端點的東西向直線道路，其400A12全長為公里。今在此道路上距離地公里處設置第一個看板，之後每27()A往東公里就設置一個看板，如圖十一所示。若某車從此道路上距離地19320公里處出發，往東直行公里後才停止，則此車在停止前經過的最後一個A看板距離地多少公里？(A)309(B)316(C)336(D)339圖(十一)
104,數學,18,18.如圖(十二)，△ABC中，BC>AB>AC。甲、乙兩人想在BC上取一點P，使得∠APC=2∠ABC，其作法如下：(甲)作AB的中垂線，交BC於P點，則P即為所求(乙)以B為圓心，AB長為半徑畫弧，交BC於P點，則P即為所求對於兩人的作法，下列判斷何者正確？(A)兩人皆正確圖(十二)(B)兩人皆錯誤(C)甲正確，乙錯誤(D)甲錯誤，乙正確
104,數學,19,19.圖(十三)為甲、乙、丙三根筆直的木棍平行擺放在地面上的情形。已知乙有一部分只與甲重疊，其餘部分只與丙重疊，甲沒有與乙重疊的部分的長度12為公尺，丙沒有與乙重疊的部分的長度為公尺。若乙的長度最長且甲、xy乙的長度相差公尺，乙、丙的長度相差公尺，則乙的長度為多少公尺？(A)x+y+3(B)x+y+1(C)x+y−1(D)x+y−3
104,數學,20,20.如圖(十四)，△ABC、△ADE中，C、D兩點分別在AE、AB上，BC與DE相交於F點。若BD=CD=CE，∠ADC+∠ACD=114°，則∠DFC的度數為何？(A)114(B)123(C)132(D)147
104,數學,22,22.已知甲校原有1016人，乙校原有1028人，寒假期間甲、乙兩校人數變動的1:31:3原因只有轉出與轉入兩種，且轉出的人數比為，轉入的人數比也為。若寒假結束開學時甲、乙兩校人數相同，則乙校開學時的人數與原有的人數相差多少？(A)6(B)9(C)12(D)18
104,數學,23,23.圖(十五)為兩正方形ABCD、BEFG和ADDGHIGF矩形的位置圖，其中、兩點I分別在BC、EH上。若AB=5，BG=3，GGFHBC則△的面積為何？(A)10EFH(B)1115()(C)圖十五245(D)
